agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene1026	619.229271450553	212.881577366151	412.890590512929	429.653081582677	252.142612080024	286.370811832489	558.071074871185	475.941541808952	482.202323321582	311.946745355231	450.097792415576	532.241622377155	333.325852440624	443.418997048585	481.771254456346	528.616885977284	392.385166812727	443.845739873856	350.92042393045	435.695080424354	448.004058297667	249.666928541081	486.188553328844	284.537743767675	341.024127870522	424.556998192229	456.10692857262	411.723802766731	485.896667184898	317.155488060978	429.379986596774	565.723503204585	441.828102343916	435.718042705036	380.137373572955
gene1028	369.960054954467	838.716303504062	412.642996155431	413.605918007588	400.765236998941	433.75849569067	778.28392219597	791.187246548931	686.047511123329	544.199898401945	700.998188522811	702.966278111575	575.346456523562	633.059017635645	757.848863023747	719.535601625823	554.190140502799	578.186254515787	344.02286341059	564.972530971627	689.348499041652	717.181436331036	979.373677368329	580.730196942536	394.854538642177	813.765416356696	367.742530379827	415.019550671287	499.99897371609	808.005906293242	536.53859158219	706.754464470266	688.233990648389	659.393414376163	727.426707017137
gene1029	909.881080209253	861.183726399571	623.145013425886	569.75487317989	435.692942273486	453.790674021805	526.451966326213	556.314399597204	841.977862647833	541.768730965496	439.10605486483	515.41730717179	435.168547152356	358.571608647727	588.317455775464	670.496444594443	614.389573748585	739.730908281014	531.080979383506	550.646948561694	527.298605156807	384.684556463054	480.53470694469	427.690157174031	387.518892977183	431.546676763093	373.922011621198	461.476786087191	223.8725054753	810.819720778998	374.782441049892	857.041997561395	522.805195851769	995.919390145208	931.667149766138
gene103	0	164.216908617993	629.500019618143	377.241701740737	204.535810339575	272.328439351862	286.518338106337	319.934998160716	322.766112044725	234.843966814189	185.095175978375	188.658546077943	96.2149962814255	210.290341454813	163.321827997007	149.742941961762	222.31394346978	196.715643322545	182.599275154066	181.925443507476	339.913060470026	562.650410862559	288.271254536606	313.987886699209	254.202628354466	265.157710611774	142.286361032032	460.732488626041	94.6403716166172	0	899.707320835457	381.749103642393	151.936757978588	429.564254212844	63.8988098631572
gene1030	0	12.3305843556402	233.115596549906	98.6357114676553	336.747816880469	224.182901308941	363.575408934867	595.6218651537	465.421353933725	249.235078585294	391.732181642959	371.862392448068	482.307767299356	479.722274279765	680.991125573658	741.239438142297	435.284519517453	711.615065505104	455.953461406654	630.472524968878	426.27607403621	342.213364302471	200.028695442053	325.164519227175	304.821134017426	281.504688708008	291.218255400735	310.463632526174	485.000802987828	2163.56850169967	1016.66751033716	892.145097112714	557.546844059523	907.146753684709	433.858640999855
gene1031	210.171355813307	872.910425630492	1118.30594316305	933.500855561068	933.487220390658	881.418184864801	1012.90463123091	976.697622498475	841.837410744393	704.979222284117	666.512634181176	518.396793408561	374.82420130073	570.430793079552	628.205054035243	667.716768220395	227.662987912649	245.75748097124	212.294926941538	273.655873111906	382.110878515515	348.190987354248	343.127564937096	240.662964498709	226.453396613901	336.845520705026	326.192237101057	352.561226897126	540.230453698889	638.117484970047	243.524104524859	789.61291137289	510.559340243612	486.499925976815	514.276062993657
gene1032	844.619851146146	27.984304920602	305.006049125987	245.490320622275	416.11626297006	404.657133302722	366.735685108936	267.706025125589	282.247862952454	379.343578203023	185.919940644249	180.765345385148	347.731397350628	164.839509186252	320.883580101566	347.436197963613	136.400069098084	136.296488031326	99.1179091162731	144.784964685595	133.31158727334	118.25451483386	136.084038286223	284.990609343135	99.0792932911156	191.4526652522	104.76058484105	51.2007703364988	0	0	405.575946318894	91.2315334090914	115.520497186434	67.83682122912	190.034708473471
gene1034	792.364776715795	4404.38759881204	2004.4989617312	1517.53667515838	1758.36818967972	1556.87450025447	2854.40658722105	2385.70107117226	3518.53500886674	2033.47034136053	2498.57879808299	2461.74340324027	2503.47689409176	2423.82224938163	2389.29748002041	2683.79159692169	2664.96965641673	2343.22809344088	2009.85593894872	2367.77479553613	2278.91380456138	1867.65999044541	1170.37527136124	1054.86239602287	1920.62376281754	1334.04166615852	2214.82529912016	1981.13533462835	2086.52154913813	1885.54632718578	1681.59285886622	2922.86682400147	1453.08497414241	3084.89245341364	1619.37379965684
gene1035	6277.92650063512	141.495641754794	3224.02970844157	3682.506972756	2160.66440646191	1880.9187115023	2967.0683806992	1931.99322949114	4368.13866729474	2897.94193326947	2454.85003437275	2544.47729297047	2590.17835910608	2526.15199211096	3290.17880824234	3196.37080544532	6085.17930601046	4681.65842256268	4225.70431933215	4610.17780515952	3983.41537290813	6777.09730751897	4431.92611175401	8589.67023487486	5552.49361719253	7808.43895693732	6539.66498295897	7382.94525028057	9039.58943441144	2707.8412029085	1577.07447944985	5813.21745278644	5545.88636883308	5326.78394886379	4784.38964946288
gene1036	0	213.513802789771	404.934790958779	306.953664924225	375.181466568494	211.68750481079	924.584913586533	847.618512065254	605.991063433196	935.246433868993	661.635207441876	544.064338652322	425.636056270094	477.897078562785	629.491512834494	649.801453446623	450.198461563603	356.877911166429	230.222382169815	286.50641092219	502.564509387855	101.480626843501	400.091351613383	303.319444646438	143.90678625216	487.300207898514	190.681438038354	636.590376492676	369.045963751657	646.935450014804	217.063081282769	432.149368779907	458.139471777611	476.606984898339	224.858587052743
gene1037	50.7786964476344	675.346014691913	845.165049625911	411.278053019007	852.987053717741	334.830924963641	907.768898181052	1085.83831911422	879.528696232902	385.701691286707	1012.70517932794	986.199543243882	945.260252282868	1011.48753936606	871.83214997558	870.461092446986	548.793567795616	585.909389452373	382.332460425461	576.999390494025	937.847651316032	381.972871557833	407.786530826174	401.112457790342	276.913808672435	423.896052056566	384.614641594553	517.12023913113	185.494793081471	871.314265407015	756.357019580651	778.349114245914	733.012098762112	1093.95410744695	696.487012020974
gene1039	733.592591057188	1103.6014048222	1776.82337840872	1508.93757191874	1584.8416414717	1417.19288466037	1216.22209115095	2203.50335918994	1452.94458913779	1279.10733639982	1017.19432271506	1473.9211719416	765.565653643869	1202.57468318965	865.276961399351	1138.12829161049	1615.17463989671	2119.44334127378	1685.56112581623	1807.22882697049	1424.90235636335	1399.3992615382	1620.35732092378	1151.84062601942	1199.00235436263	792.311372626069	767.840235654161	1434.72542781956	1072.40268491809	1557.32766535522	2119.64377312546	1575.18539752264	1271.8996945346	3433.77094338047	748.147003926639
gene104	0	0	0	0	218.498056817745	109.692929936084	120.70190482918	97.6324201737125	192.280957977136	116.241862970842	43.5461132686984	26.4187822256438	83.1221102074496	51.6288862844167	111.6473446504	14.141238975103	13.6488756953123	1.20667389030241	45.8093088346568	30.6569692518908	67.2837132836165	0	0	0	29.1164311748061	0	55.6655690783479	172.371573982021	128.341386442305	0	0	61.7503969336482	149.661448145113	75.4988061300111	0
gene1040	1477.55322201768	2099.85847243448	2766.59464355549	1728.93131511644	2449.20331994221	2110.18298020717	2497.98720403477	2300.23444439204	2322.29016783903	3039.33096894655	2087.45090215458	2526.93396326033	1531.62715494703	2071.44737912454	1896.0004428126	2028.43083700686	1387.79734773167	1657.71400969803	1576.37608881835	1972.9310770019	1593.92689539432	697.573036996208	560.955489107582	851.809638911774	1084.59690294153	692.928651368143	923.463110547308	630.43415911655	489.084602496146	1049.4224231533	2529.22220351827	1678.94891734065	1107.70476742912	2129.70440476023	1313.63127848258
gene1041	2192.38094702023	1716.68150449381	3096.79673651844	2092.7203314702	3901.70469256175	3289.21466287784	1479.45059837797	1723.2721421722	958.180126409236	1878.62149058939	1975.80275841685	2747.49291929184	1882.76010112624	2540.86985288425	1624.38375898586	2465.41771280452	3182.18724957743	3601.34831243665	2890.58969820826	3107.92518205003	2657.04923760549	1504.23692609694	1476.51214915751	2232.21213818248	2234.82976096972	2018.09740628948	2250.05445038964	2059.99037651897	2343.94963459388	3784.73527602955	4005.34848779833	1748.33260041028	2041.13701756875	1842.1558999814	1873.87232733726
gene1042	3318.81756039339	3478.5068872428	3155.00414207047	3380.85831277034	4046.39885438291	4115.45439092272	2344.69599655956	2153.30717629311	1873.87207484155	2999.95671867905	3158.0598344587	3884.00695373801	2850.87576224323	3549.34030077084	3398.07312212307	3643.67874375285	4720.11872415956	5032.89969678131	4331.68146637321	4648.78014378793	4116.24913877968	2497.6738656069	2654.07275390127	2688.46302137231	4004.82861947617	3977.22956543881	3464.66328435828	3467.93690050011	4447.37823763773	6011.76870230035	4964.9299151462	2743.81451895833	3260.12785628956	1610.4628993174	2856.74548794551
gene1046	13.8931481094662	6.17493750350507	21.3170509640603	91.0742833859377	154.047392794705	180.72679288009	77.6939954999826	91.5727491539602	60.9077515392449	79.8001813827466	156.147606266504	114.439717618523	120.064346351068	60.5857613583659	79.8155620769132	123.383493985032	96.2309147670132	54.8029920999252	80.0861641321578	72.9873636768407	81.9859805527064	103.195858269353	102.865800424079	0	109.424573308144	0	139.479526130917	160.446989810762	75.1174585353489	123.658230742537	28.8809421874833	227.130786750733	143.985867859756	321.336936130907	123.973372772383
gene106	1812.25114861797	1527.07909356145	1334.33416042553	1621.26540546072	1098.11850993166	1145.57458182386	1262.33962521947	1355.21823014955	1206.44842728568	1389.36806273922	976.371239183655	1182.18300383392	1200.16794859404	1112.9377390608	1055.1444668865	1179.95036331286	1182.12145930814	924.418890854965	1052.05320849099	871.075112038585	1122.97301643942	981.784932108363	926.996165056123	629.530295815775	1045.41781054833	1000.83073813949	1025.67262758044	990.567667314173	435.940285224111	282.744364271151	812.932129607109	1477.24782554056	1279.4548600693	1493.79160841258	1146.34264584755
gene107	1102.4554941136	287.756619331607	473.682013835721	441.833943774606	587.717323707081	305.259932363002	625.114870431401	495.600367456373	618.341714448935	489.154015461967	436.767169413214	511.800491804325	431.061494844484	481.74310033671	405.627067624656	467.690976429061	367.928394728096	230.064996805999	326.568584195746	270.133076485513	339.853609016987	345.584275165895	152.198667462181	488.685923858653	264.956967914614	142.731152841113	360.57048413899	366.760162951605	124.916877777428	163.691899580017	411.326154834811	442.364966721045	767.161080220098	815.14808758665	597.58444539938
gene109	19.6631608523216	25.3920088174659	606.334883351825	183.81341362296	572.370541406781	360.203085674013	503.0995498926	269.354533747431	459.8013893871	255.104342154657	850.19453126659	630.21126864362	435.814402681451	445.951807811534	3200.88437159553	3508.72264163748	5231.13598620196	5857.71040127827	8297.99352238985	4319.42682933027	4311.72078303735	2741.06541334629	1649.683662663	2567.62650957763	7187.82006078237	2905.89899865638	2362.31594429807	3126.62852022561	3155.17714633704	2327.5264272191	978.126247227519	2308.84934623212	1104.2779669663	2258.27346989605	937.788590042442
gene11	9269.34957120502	8695.54086373977	7798.63398975997	8443.75799962704	9166.22195154706	8788.06553016942	3918.377064036	4316.00186096378	4352.97940426116	4764.64033215512	5344.19294796778	4926.94556128048	5042.64003801522	4798.70088113609	4908.58668066322	4920.1209582206	5236.73729328214	4803.46726650332	6968.79739655943	5369.14426224877	5141.37703325941	6429.64980641927	7547.24680868491	6570.19988138911	6182.52270843797	4743.77708671079	4841.61195991281	3866.65954372201	4521.70289377086	6326.57415034719	5259.98471828228	5228.3264380666	6049.41581391165	5944.24704056062	5241.902053178
gene110	1.06845485909875	0	350.30428953812	0	40.8118224163706	9.30738544303246	25.8568050605595	57.1090486852476	0	0	59.4979598308111	0	0	0	16.608880957638	62.0572552863319	0	5.87726129087854	5.29905823447078	0	40.9517712321608	19.0904149507577	0	0	31.808759143204	0	61.5725518545485	0	0	0	0	12.5676091941095	0	104.714556259715	20.8067199058545
gene111	0	0	0	0	0	0	0	0	48.2271814937567	0	0	0	0	0	0	0	0	0	4.44285435894548	0	0	0	0	0	1.39393242696743	0	6.22675331091504	0	0	0	0	0	0	0	0
gene112	1928.45034285284	3717.81771689535	1884.42095780661	3350.19170877242	1429.8528241042	2526.43840406015	1971.2723655145	1723.76562519891	1668.85888713062	3160.2628033093	2734.97926065191	2480.25473514792	3282.33939753244	2758.09153252265	3469.34763029163	3053.7235499266	4106.39004253657	4079.5647446188	3003.7508928833	4318.34740112564	4286.96739077005	4124.77128236859	4161.86848742852	3420.37453107592	3607.58777755417	4485.51174244793	2493.19541284359	3376.351619768	4025.9659935304	4451.20413466869	5098.486562869	2684.25059591739	2541.93520847846	3167.18780719404	3465.48607056339
gene113	1282.67542185156	723.078885318333	685.337824254442	522.444378313874	373.475980665007	455.720579994185	591.930088964235	463.319718284034	469.493469297853	901.90028834478	901.731806344986	672.847061710616	767.935976058779	1045.0359214806	1035.29178301652	1016.141706165	1240.10071138808	904.694492508334	546.610268315817	1156.19025618704	1140.57077061372	859.294697733421	1028.36539997279	866.935582734479	429.179631818633	633.077491505212	741.463136748595	1018.86960066601	1029.97118555682	966.539868183739	961.025187740223	609.21237573729	560.933288506871	487.672780186016	1163.54664449843
