BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000153	172	297	145	226	600	263	253	399	328	290	370	439
AAEL000154	5	42	1319	4258	246	1604	156	194	830	32	44	189
AAEL000155	0	4	1	2	0	24	0	1	5	0	5	0
AAEL000156	0	0	2	0	3	0	1	1	0	0	0	6
AAEL000157	73	82	307	763	386	374	114	112	309	172	179	162
AAEL000159	834	764	1196	1662	2699	1959	833	987	1832	1619	1229	1184
AAEL000160	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000161	95	108	280	146	571	155	141	159	280	236	200	275
AAEL000162	6	7	12	26	7	15	3	7	2	33	3	12
AAEL000163	168	289	211	301	669	560	629	599	632	494	624	680
AAEL000164	55	52	80	97	212	172	28	31	53	117	24	22
AAEL000165	607	524	972	673	2613	2016	631	773	3311	2909	5496	3983
AAEL000166	20	10	38	37	89	33	4	4	12	5	0	15
AAEL000167	25	27	30	61	103	59	0	8	2	7	0	18
AAEL000170	125	162	383	980	565	647	140	197	442	216	200	337
AAEL000172	1070	1192	5360	14680	6638	6753	1002	1309	4707	2547	2725	2866
AAEL000173	91	105	309	342	482	725	815	987	938	966	1148	1226
AAEL000174	30	37	52	195	139	161	18	22	81	29	41	46
AAEL000175	4361	5089	9415	13764	27469	15965	4508	4770	10437	11013	9457	9923
AAEL000176	140	119	252	169	487	110	94	159	241	198	217	258
AAEL000178	190	210	242	607	508	602	584	676	531	353	473	481
AAEL000179	769	922	1282	2109	2088	2232	3114	3154	2983	2714	3355	3613
AAEL000180	313	336	363	427	788	797	536	536	870	702	498	507
AAEL000181	932	1029	2873	6480	4104	3849	912	1099	2242	1464	1363	1822
AAEL000182	3194	2897	2758	2416	6118	3218	24234	24094	24935	23595	9220	10832
AAEL000183	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000184	161	151	230	512	429	490	199	218	304	174	234	343
AAEL000185	12474	13398	9292	16121	20269	13962	23867	24224	13581	10991	15647	17648
AAEL000186	318	475	1216	1290	2782	3087	725	715	1959	1667	1904	2076
AAEL000187	28	28	122	344	109	210	38	22	132	56	47	50
AAEL000188	7	1	14	46	11	17	0	6	5	0	4	0
AAEL000190	0	0	2	3	0	0	1	0	0	2	4	5
AAEL000191	1853	2118	2301	2607	5891	3407	1994	2013	2571	2679	3326	3555
AAEL000192	35	31	49	38	84	18	16	20	50	46	37	71
AAEL000193	307	394	1870	5882	1248	2919	176	344	1386	320	265	574
AAEL000194	2857	3233	3854	3668	10097	4540	2956	3070	4003	4107	3836	4050
AAEL000195	7	18	20	21	59	22	16	10	29	26	25	33
AAEL000196	3	0	0	3	2	1	0	21	0	0	3	5
AAEL000199	1000	1026	1047	1971	1530	1683	2774	2617	1326	1254	1838	1843
AAEL000200	310	333	475	1063	3397	4155	3007	2957	4879	3421	23651	17618
AAEL000201	39	42	427	1588	177	568	57	103	336	36	57	91
AAEL000203	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000204	951	1386	1635	2486	3330	2054	192	229	624	943	112	382
AAEL000206	481	637	507	541	1698	660	121	117	162	617	37	157
AAEL000208	3129	3708	1063	1355	2901	2649	5920	4773	1948	2084	2600	2619
AAEL000209	7	12	10	12	30	0	4	10	19	16	4	36
AAEL000210	770	1083	896	1149	1910	1667	2749	2427	1755	1369	1210	1451
AAEL000211	527	540	719	889	2467	1517	1498	1579	2221	1974	2882	3172
AAEL000213	2804	1605	380	241	1277	705	2563	2850	1103	671	1108	1106
AAEL000214	192	228	251	421	489	420	190	199	259	207	392	511
AAEL000215	61	60	128	171	315	276	137	131	246	258	212	363
AAEL000216	0	0	1	0	0	0	0	0	0	1	0	0
AAEL000217	443	578	2875	7289	1583	3161	311	580	2202	412	1003	1565
AAEL000218	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000219	1222	1431	949	1377	3469	1890	1005	888	1425	1362	1066	1137
AAEL000221	837	971	1314	1271	3532	3281	2003	2005	3491	3165	2437	2948
AAEL000222	199	201	279	365	527	636	335	352	607	400	399	428
AAEL000223	1413	1327	71	299	363	218	197	275	12	196	0	9
AAEL000224	1	2	83	178	20	145	0	2	14	0	1	3
AAEL000225	0	0	0	0	3	0	0	3	2	0	0	3
AAEL000226	195	179	553	1267	781	950	361	412	737	450	490	578
AAEL000227	1482	1001	842	587	2642	1426	1561	1277	1364	1200	1808	1264
AAEL000229	2324	2296	2292	3714	7636	3739	4654	4996	5770	5562	3343	5347
AAEL000230	187	194	237	483	484	596	576	493	585	453	409	412
AAEL000231	2341	2815	2360	4491	9363	7151	3548	2914	5549	3703	4323	4604
AAEL000232	0	0	1	0	5	0	0	0	0	0	0	0
AAEL000233	158	226	297	293	666	374	224	329	386	364	334	439
AAEL000234	1902	1642	1334	1058	4378	2107	1143	921	1450	1778	2788	2126
AAEL000235	1518	1610	1718	2560	4264	2562	1653	1803	2541	2257	2251	2859
AAEL000236	5	2	21	9	29	20	2	4	4	8	3	4
AAEL000237	16	6	12	20	39	55	20	16	32	16	9	19
AAEL000238	2	6	62	55	11	29	1	3	18	0	3	0
AAEL000239	1001	947	1390	1051	4167	986	780	783	1583	1163	1082	1469
AAEL000240	489	499	563	974	1237	1373	815	820	1175	1097	671	765
AAEL000241	168	193	303	725	790	799	321	421	431	378	402	490
AAEL000242	88	109	198	195	487	183	113	122	190	175	166	210
AAEL000243	0	1	8	87	7	55	0	5	3	2	21	3
AAEL000244	547	691	366	441	1340	721	130	120	135	413	249	149
AAEL000245	437	487	601	543	1565	1136	1105	978	1215	1316	1260	1345
AAEL000246	36	44	653	1865	278	643	37	23	360	16	46	126
AAEL000247	13	4	4	14	7	21	11	7	41	18	43	22
AAEL000248	1530	1543	1762	2656	3040	2530	2162	2149	3415	3026	2682	2690
AAEL000249	569	979	261	326	559	750	1063	983	1082	662	580	813
AAEL000250	103	88	143	93	411	204	90	72	127	124	84	230
AAEL000251	317	268	484	296	1386	446	208	271	452	357	544	558
AAEL000252	181	145	297	174	711	801	366	461	1128	1044	703	737
AAEL000253	0	0	4	5	0	0	0	0	0	0	2	0
AAEL000254	82	76	131	117	261	102	42	76	120	78	106	153
AAEL000255	35	56	76	131	163	177	66	101	109	80	82	113
AAEL000256	258	266	431	397	1052	528	90	118	127	200	138	277
AAEL000257	250	289	707	1622	879	1120	415	431	708	384	388	509
AAEL000258	4604	6428	3019	4071	7686	5221	8598	7907	6497	5172	4572	5077
AAEL000259	51	73	29	19	49	21	77	61	31	54	18	26
AAEL000260	23	20	237	601	177	336	24	43	154	25	37	62
AAEL000261	50	60	154	437	226	235	83	73	151	91	80	149
AAEL000262	636	679	2961	6713	2935	4293	697	637	2410	905	812	928
AAEL000263	142	146	625	1585	340	593	47	57	244	13	37	66
AAEL000264	1102	1842	1140	2309	1785	1866	475	467	815	916	835	920
AAEL000265	558	626	452	463	1059	919	907	775	1097	877	761	843
AAEL000266	5	8	11	9	14	8	3	5	0	0	5	6
AAEL000267	5	6	83	311	46	202	15	24	71	20	17	35
AAEL000268	12	3	3	9	16	9	11	12	4	3	8	16
AAEL000269	5307	5950	10386	8600	41496	25259	8606	9361	22766	23793	17538	22174
AAEL000270	570	868	674	1613	1491	1139	1162	1150	970	869	1480	1357
AAEL000271	387	507	748	394	1280	1691	623	701	1120	1781	3052	2044
AAEL000272	141	125	194	286	434	268	221	285	243	191	217	285
AAEL000273	3022	3548	3686	4916	10170	5389	1851	2032	2437	2159	2426	3240
AAEL000274	343	479	384	706	1170	336	550	439	502	583	540	762
AAEL000275	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000276	1117	1120	2803	6182	3963	4008	1326	1699	2483	1797	2377	2432
AAEL000277	391	474	380	377	848	1386	555	634	697	971	1311	1204
AAEL000278	2797	2887	2818	3694	11414	4375	2202	1926	3155	3314	3143	3829
AAEL000279	118	146	205	178	400	343	445	440	356	315	291	337
AAEL000280	0	0	2	0	0	0	0	0	0	0	0	0
AAEL000281	100	88	114	166	287	119	91	84	145	141	175	203
AAEL000282	68	34	153	372	169	122	27	37	75	84	53	124
AAEL000283	2	11	0	2	13	10	13	15	5	6	4	5
AAEL000284	110	133	197	252	417	357	312	315	317	239	305	339
AAEL000285	0	15	40	51	48	7	25	15	17	9	41	18
AAEL000286	3	1	2	1	3	2	0	4	1	0	4	0
AAEL000287	72	89	125	229	251	206	98	102	138	54	127	110
AAEL000288	821	756	1196	940	2791	1098	760	684	1091	915	846	935
AAEL000289	248	196	497	1151	705	746	290	256	475	229	315	378
AAEL000290	74	56	131	87	271	230	267	201	253	255	192	334
AAEL000291	26062	26105	25424	27971	67980	36062	26848	28458	27995	34610	31514	35740
AAEL000292	60	78	234	370	243	263	99	152	190	132	141	161
AAEL000293	15063	13948	5038	7584	10316	6859	22536	18854	4088	4746	4697	4235
AAEL000294	703	1071	494	394	1060	1431	448	498	419	3719	2001	2269
AAEL000297	599	747	652	625	1358	763	1579	1714	1596	1541	899	1102
AAEL000298	8	12	19	5	23	8	12	7	1	10	11	6
AAEL000299	53	73	125	276	222	213	146	142	240	103	207	242
AAEL000300	49	55	164	297	332	330	196	200	195	203	239	306
AAEL000301	883	1058	1096	2053	2754	2238	1745	1897	1491	1230	1034	1343
AAEL000302	0	0	0	1	0	0	0	0	17	0	0	0
AAEL000303	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000304	597	683	629	720	2039	1368	1160	1078	1523	1422	3637	5606
AAEL000305	29	35	57	128	145	88	37	31	55	58	41	78
AAEL000306	19	18	22	7	22	72	25	24	22	12	53	48
AAEL000307	5	6	14	8	11	12	0	10	4	11	16	4
AAEL000308	82	73	39	29	92	254	42	71	87	84	220	184
AAEL000309	995	947	299	242	1241	619	1744	1811	1714	1547	1491	2017
AAEL000310	75	54	85	104	225	133	33	35	58	348	68	35
AAEL000311	31	55	1345	1389	4351	2441	42	303	3322	3477	5423	3732
AAEL000312	14	32	34	51	77	97	53	58	103	126	91	138
AAEL000313	20	40	41	52	129	92	38	24	20	25	58	74
AAEL000314	341	328	126	134	301	209	256	246	312	297	407	367
