BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000074	171.020143271511	167.777097320108	108.742511606397	79.9402625159183	120.419241502054	210.303577112541	176.229741482716	179.028605751975	200.208843553764	248.564034759024	586.295665942314	437.879791236705	magenta	FALSE
AAEL000077	61.9545530257715	58.8396317152792	49.2714711923704	56.947246760933	37.8687348525539	41.0909370333428	99.7856219745496	96.4736497906083	40.4049111607327	38.7548129331613	58.2327992202096	52.1159422530664	darkgreen	FALSE
AAEL000079	4.41086336901501	2.70572418756781	22.5357217465104	57.0576579238187	5.7987516616833	16.954974397951	1.27139981666415	1.45914524609262	8.02796689588065	1.52359106913042	1.24627523373503	2.50522531597809	turquoise	FALSE
AAEL000080	351.113300528127	185.733745361525	40.4816543063908	56.8900541489768	23.5116238853245	32.9789206586646	224.563998185227	290.572380255808	41.2664274838392	39.5779121750972	44.5864958491246	42.3743809297255	brown	FALSE
AAEL000081	26.2881912727091	28.256263896628	125.911131853074	243.672598370382	62.850307139672	94.6752291857583	29.1066665639215	32.4372504198013	65.3463507508215	36.0601298620398	45.4906576652574	51.9368070787461	turquoise	FALSE
AAEL000084	88.0892998559189	102.854004738688	125.30612585664	131.9795538355	112.312469257273	129.046623629354	141.977974653249	128.162430626818	122.475552097507	97.6653570911216	169.394010971338	157.579298635108	magenta	FALSE
AAEL000086	1.16228239840403	0.477269710703247	1.92717153015307	1.55730785692669	2.26297218316167	2.82022519495641	1.05124459171291	1.28072500462479	2.82918780538541	2.7982897975927	3.47095137998712	5.64233144027587	magenta	FALSE
AAEL000087	27.0122945933267	17.0449364121757	7.99768342264411	12.5398783932648	6.14021529533896	11.4293373479114	42.2638121641537	42.9587148303308	10.8546340137542	21.126599361368	44.0893734637762	27.9034063150935	magenta	FALSE
AAEL000090	57.2213229449501	54.7931935073576	69.6625804331001	69.4539776818056	56.5299882143263	77.5999339267971	56.9280802309259	55.4227330780145	51.0137691282304	55.5075814170232	84.3020176107602	81.5293568297414	magenta	FALSE
AAEL000091	6.44675043602659	8.04288385724809	35.6816519690624	60.3742869525392	12.2574718954617	32.5892907963341	20.3560318437276	23.6895177882615	25.0354252708913	16.6903577353015	26.9424056517411	27.6344171074026	turquoise	FALSE
AAEL000093	16.0675813158037	14.5550384526472	27.1355131637192	42.4358451750711	18.7738142971011	18.6246224693998	10.8923318261017	14.4879207033624	14.3938026961439	11.5230827590498	13.7391986322798	14.054266322034	turquoise	FALSE
AAEL000099	150.512708709916	128.911738730032	47.735788306551	35.0170870856334	52.6401180356837	57.082831114599	166.930652280298	185.461413095945	75.4076380869925	68.1253527698106	217.074181426321	178.976003663709	turquoise	TRUE
AAEL000101	29.7036609987644	21.4375241429854	11.1789039098898	7.41436975050962	10.9757204002854	5.03417589764189	9.78887137131936	8.37592620445825	7.44196053690731	6.0860700617961	2.43357059674829	2.12711263737102	brown	FALSE
AAEL000102	40.1980380220623	61.8227764366023	133.39965273411	141.078264199845	98.8717824031983	222.755206846788	430.715105442585	462.681183488139	404.312107267198	387.638443525959	892.420802588512	953.17217524162	magenta	FALSE
AAEL000105	258.920578284581	174.897465648771	69.1493747208669	76.8201978679515	58.1420146701852	78.4203304341074	366.396227146751	266.992279657929	70.0131852132627	51.9342466667969	76.2921443323687	47.1384252073663	brown	FALSE
AAEL000109	31.1904282954627	34.9137296577352	280.121210258263	586.971609664471	54.3823080857511	204.144764257981	32.8609980247832	40.351888194407	125.195140995537	28.6165054184805	45.9331223338785	67.3450532729735	turquoise	FALSE
AAEL000111	96.7353486937377	81.4923941883043	198.454632037166	144.169355148939	120.983591598878	176.18221828033	176.508660697512	176.723653741803	242.444921259344	178.917750247514	169.901331830121	138.904030932428	magenta	FALSE
AAEL000118	2.73960333995954	3.30031843747835	12.2839034257943	24.653462805222	5.48553665313343	7.98961895983976	3.96734169816878	6.14778847050295	9.26204600603284	6.0165327372074	7.33544175153539	8.596900628378	turquoise	FALSE
AAEL000125	0	0	0	0	0	0	0.491682884455197	1.11617575192365	1.2816015776011	1.16051423636165	2.20872937622507	1.65351075077337	magenta	FALSE
AAEL000138	496.904647854258	508.59022474568	542.806083121503	406.596106324433	394.935236565482	476.639461442417	624.308976949954	646.993212407668	742.795915602537	678.204833140228	309.867347966139	338.2117299873	darkgreen	FALSE
AAEL000140	4.78505753512439	4.84206300142706	17.0389386604124	28.430537595426	9.42167405187439	18.2995838089423	5.96193134367933	6.25984513630091	11.6033041621454	9.29092024288476	9.30429478073569	10.3296297954269	turquoise	FALSE
AAEL000143	28.9677775906172	24.0772046880626	33.6375667142589	31.6948425606706	29.9974161643864	34.6831388326828	50.1650945595008	46.5855729219674	42.3600241901116	37.6892499673416	58.1644931889269	47.2369228648054	magenta	FALSE
AAEL000147	23.3335821059216	23.7142192738376	36.0565342000242	38.1867153660107	23.2374701766681	40.4288937055051	53.6945280827942	63.3067863811563	50.9180820105982	54.046633707264	137.066058277793	128.29256563951	magenta	FALSE
AAEL000150	3.18949776390825	2.06279026209642	1.92215972354577	2.7472589036785	2.16983834786555	2.08957610530223	0.129815613282697	0.962674001619559	0	0	0	0	darkred	FALSE
AAEL000153	2.50413914758307	3.99504053893486	2.42329273603368	2.83410370268042	3.60165736753629	2.38908912574879	2.99836952407628	5.00947026768696	3.54629177275301	3.15466718572016	4.59621737137646	4.89901893056293	magenta	FALSE
AAEL000157	1.71452221255372	1.77938054878802	8.27687695273652	15.4355490232018	3.73790874530818	5.48073053835061	2.17951433747271	2.26843936649976	5.38951078521905	3.01838227932341	3.58708866701841	2.91641858457159	turquoise	FALSE
AAEL000163	10.2941985258829	16.3612255236282	14.8413559276927	15.8864566088444	16.9017046978079	21.4100596386481	31.373901320105	31.6518411144555	28.7588122833726	22.6170389710376	32.6239597345944	31.9379294402796	darkred	TRUE
AAEL000164	1.58060136622067	1.38069495402887	2.63911015606847	2.40109136182871	2.51198278322217	3.0841443938639	0.655016617341767	0.768263595074938	1.1311133889358	2.51229749286755	0.588490870997634	0.484615087588781	magenta	TRUE
AAEL000165	33.5540541794741	26.7622317920693	61.6780227457125	32.0441430747133	59.5548114696217	69.5333943461754	28.3935890708491	36.8489146934544	135.920856063224	120.150496924147	259.222001417215	168.764541333464	magenta	FALSE
AAEL000172	10.2866092606653	10.5876469618807	59.1508681189871	121.56031276873	26.3115751367144	40.507161147319	7.8413494794986	10.8521805126794	33.6049515837641	18.2954438648155	22.3523813006111	21.1192863348234	turquoise	FALSE
AAEL000173	6.38507155435005	6.80688488105669	24.8880415502171	20.6693952370546	13.9441661373888	31.740150018841	46.5496701606528	59.721461301934	48.8762440478225	50.6438883125406	68.7282189047694	65.9370378525723	darkred	TRUE
AAEL000175	118.680404735875	127.955840366263	294.117674783606	322.637529522719	308.217231712969	271.086847554747	99.8645760088848	111.94384195062	210.930423954742	223.936100293626	219.591308243431	206.99054596212	paleturquoise	FALSE
AAEL000178	9.56670143904841	9.76928197161394	13.9872344056244	26.3253769339174	10.54613838887	18.9126202849189	23.9362487664537	29.3524402330088	19.8551764409407	13.280329934015	20.3206963063552	18.5638599192219	magenta	FALSE
AAEL000179	46.1940604762179	51.1711821796691	88.4006974504758	109.122338929496	51.7143924838109	83.6566715585799	152.269538006986	163.38432365212	133.071074046542	121.813432707835	171.957510205128	166.357485356279	magenta	FALSE
AAEL000180	30.6250979070985	30.3743614139263	40.7706505054771	35.9863923663397	31.7892659581297	48.6561858822178	42.6906297165649	45.2258600835719	63.2154175536823	51.3210815355215	41.5749098336491	38.0238155196619	darkorange	FALSE
AAEL000181	11.4760571769389	11.7064953319862	40.6088119984013	68.7272686279095	20.8355647794209	29.5713597288308	9.14126401736126	11.6697991196511	20.5013759306532	13.4692498009817	14.3199490193572	17.1964875763412	turquoise	FALSE
