agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b	invert	module
gene626	1431.68986977215	820.119278982766	888.224933178684	479.4099323076	664.20737586462	651.161130057494	599.311025613895	434.783833929977	702.381842772873	568.327147209881	628.162103558786	657.289974014181	659.742753621034	647.772291252968	504.395041380447	475.551539340808	241.244044168667	259.080781961482	292.97143033721	271.037128924811	280.631462446789	206.472643041842	331.453513902002	477.772251096698	388.985339155196	185.370962652137	404.428023133713	246.478562425267	297.392245543721	168.240595649983	196.037504077268	492.085195934597	445.981254580374	501.551186172823	438.349419520016	FALSE	blue
gene628	5585.66749261012	3174.90874530284	1578.55000421303	3058.24661081932	2844.98065905833	2649.84084262298	3319.42356009511	2096.20414267619	2998.09680050774	3669.29233120228	1546.0668370387	2075.60731988378	1889.83631440742	2549.18737283855	1876.30334437513	1846.64385767191	1148.75749003863	663.564702577296	769.223654657746	1031.56203505484	1488.05631680385	564.170179513967	1055.41087272511	2197.35750194473	523.855293344331	421.872551356515	742.545184265807	2005.43808174568	370.606678578205	1496.95202796352	1131.37951786619	1543.05348537628	2352.39599399684	1274.20442968536	1354.99994053561	FALSE	blue
gene673	1900.62754235256	1717.62989810083	985.274679956935	1527.92337939347	1098.44177267223	1467.12740601686	876.927893684325	830.820648284176	1063.71317108175	993.373377544102	1260.04355436772	1155.88434165708	1383.28692568408	1115.92669457061	1100.32373213262	1022.82555890069	553.844646689355	594.289754348802	874.084287023542	686.99089175909	676.580248529373	592.735300193448	763.11303942452	585.491272690415	912.688649790275	563.575804298772	938.50157369553	571.640849216853	758.81184881126	486.529164457766	509.782039439374	927.192329721721	1034.28917189418	1034.55950962546	915.691797467679	FALSE	blue
gene694	542.166413022556	976.145179625047	797.473054218396	746.631207194016	432.232949683632	383.904077741162	201.176528028195	349.492091031658	247.573334041032	132.119187217171	369.75694255494	383.984880907206	278.335139053142	325.417186373354	326.150947756921	318.462814185104	468.729537434529	397.999100231682	446.713870617602	499.961233462109	437.863443857777	371.890958694731	300.442081732086	183.755627355612	320.124121617491	233.798603407533	322.021439600939	275.695587607115	262.680481097516	836.692506516671	260.99251439952	523.421732628225	392.674953915028	813.045429052003	352.791523238009	FALSE	blue
gene712	1896.92747944241	2507.62845765419	1672.22794372918	1640.67406624495	1518.66655448774	1239.72622201523	889.451412675299	1246.68464526816	760.885471880415	951.325785772789	1357.64596745715	1252.35043207639	1215.6301364412	1247.23735322257	1222.87843129971	1004.3921219445	430.52154091601	510.879832961254	565.691556391143	587.166341303465	743.517203099061	477.399923585833	358.064949132986	678.482316389952	587.720755780084	638.679761498315	686.560956256391	708.293121515623	662.022022723378	560.730767525207	806.234301907429	1175.47568099759	1566.63590928066	364.73373900874	1026.58652541342	FALSE	blue
gene737	4072.18029607147	1206.42237754268	1346.69121169197	1235.07782221827	1287.14875593389	844.702101857707	1251.2948711546	1058.93201069834	1280.86317877232	979.21289598321	1028.94776576636	1117.77902900909	1438.36723709087	1267.49652801351	1477.44831158113	1474.18808637401	1395.24478870888	1263.98719863813	1186.56205423922	1596.79737719572	1040.01179329194	844.487343573241	935.471622917038	1019.81653387803	803.900590089014	464.587171506317	577.892487421364	363.063451771067	919.751065919321	773.042279027059	1809.68338114159	2753.18880188558	1462.33313419809	1748.52919082807	1564.20580200209	FALSE	blue
gene738	607.68620311424	1385.56621323204	399.947063830776	477.988275694536	404.268476517704	487.256745708957	312.203079361787	215.202375526975	319.413016070096	276.586941757667	370.570766240911	320.688645673396	412.329329104077	503.194833721157	445.763064851806	354.358785759213	176.874844605617	288.326281538325	359.258328740626	234.794989381388	264.382812958171	255.099554064212	266.777535439472	329.836890419305	339.1160570618	187.732376189107	382.707578918602	301.767111025282	273.83583079659	143.534510672074	421.134418139353	455.137790290851	697.457301136046	434.619056201187	516.383619008143	FALSE	blue
gene764	1257.82635491961	849.656167469079	908.578343566233	1292.93548849824	958.781162900001	1126.65297396342	972.343679579618	825.541508717894	779.168674979576	676.666130894854	535.946001181602	790.144422118171	662.129293209356	760.611104573384	598.891941652976	687.714968511439	492.481891575847	492.05542492433	385.103070621207	487.360752239956	434.530956007554	213.853780154971	204.756467993468	166.681681231169	262.211798306188	421.08860339236	308.997234836223	195.638459443473	275.792463732825	493.107750988912	452.519340555822	930.969411109068	666.428771271724	856.611463825034	857.479473331768	FALSE	blue
gene781	1672.94000904981	282.829150990758	691.880736947877	963.090325018901	682.532334150278	670.904943895651	363.711430475746	650.551311731476	363.470151515907	450.303203688185	354.020580803138	430.126964228142	326.31021197917	376.514724963025	318.918476672743	352.092079873227	367.36405939611	527.687911240325	567.220721374243	460.790734815054	422.564294307075	204.367866443104	219.246410957618	777.501570378379	538.835499988244	347.560403667083	602.896522212058	563.033151990458	334.882050396675	488.687658673454	244.474193808856	501.410946169183	649.024087570005	855.585209485643	598.515425256461	FALSE	blue
gene794	4718.30398014349	1707.48919434326	3061.58197626612	4133.89016119714	2508.56357682989	2814.70180847574	2061.25178166991	2429.17234070308	2186.24154151447	2026.1201237536	1392.2757135035	2522.92069091878	1785.3615964695	1882.88607791472	1178.5234021727	1447.90015776541	810.915154029478	1597.32712759059	1310.81161950389	1049.04368844129	838.802637572267	764.543317202674	243.736813453303	460.805068368992	1346.85339981268	1106.37223739208	696.467324152226	991.666771522011	1451.80897773125	435.405032517413	185.903540488363	1271.18587753666	827.937786646397	1226.00898678666	962.159290403737	FALSE	blue
gene831	4758.41271118686	3088.57582771481	2529.64697477495	3561.13346479616	3534.84105468296	3367.25370440412	2371.78726863832	2505.13802144264	2917.78196749354	1697.4617317923	2340.43587610969	2085.09903547341	1828.01850577696	2166.42554205446	1864.02433631865	2126.08401735089	1075.76598077083	1447.5878129807	1969.61446954298	1436.72616958139	1119.08953848674	764.335054506949	1029.63782283372	1351.0992095291	1349.11433372894	1379.0924683927	1398.6375010998	927.573041466543	612.40921571507	1235.54592360168	1305.74983782407	2871.24074137921	2825.07976633305	3279.75879097605	2822.77833389426	FALSE	blue
gene857	869.78919768094	2057.14205136304	1140.12101243314	1071.98495637035	1093.11728398966	956.60725060035	724.784807493853	773.521290992047	813.503027359745	849.207937861494	787.719320919686	758.155381741818	1181.51098720877	753.825027662314	775.815376419557	631.358730092143	708.319275219906	610.511905273049	657.178980885462	595.831677409788	560.893055292199	679.122655175076	525.544723478407	725.421445758883	823.332548237679	476.706927814732	726.899626607621	511.277497162254	557.700102835398	548.389779730292	601.302180648651	789.04816989988	650.428070650269	629.815074061755	470.356918606303	FALSE	blue
gene865	1926.26091147336	1411.92355971161	1347.80184756608	647.014214015928	576.811283160372	718.334498180752	1006.00354411668	749.969999088418	935.072412835452	669.503475574507	661.341984413709	411.665854729985	582.749417664578	577.114104226691	745.671693109267	607.851933007207	705.007312434252	447.89246579383	353.705860422496	469.521725188601	635.433281138205	576.308612123398	575.189589846838	704.446963858752	486.850853271303	571.994887190211	413.571809098271	648.566153365126	314.42021929796	568.107180895353	249.613857477534	464.684709698167	384.796561580664	380.498914856218	703.931549083783	FALSE	blue
gene91	5082.02441658546	1388.81366699548	2379.11496768445	2233.3520844138	1246.01019329369	758.56054205686	887.174041074953	933.488545016258	857.569552459801	683.653088470471	981.02970224618	854.635134701727	1090.51214456705	1002.60476774452	927.001656779924	650.71759357787	1152.06743972046	1172.93343190819	1302.52283985461	935.081092302491	803.363913770242	99.7067214966898	420.420402115529	1107.62148499191	875.123205540458	437.732421708264	1214.17521476958	725.64840745108	590.982237732757	2766.92266108536	1889.68676382522	963.776500420627	1103.57335429918	837.689980270782	515.409871776419	FALSE	blue
gene940	2185.59959435677	1816.20655129126	1795.52698864348	1254.18297093037	2292.05864014906	3022.27488694522	958.002431358436	1280.42777823659	1199.82811450868	941.342744544207	1176.11105344143	1118.14126121389	1089.53600670363	927.54291847046	887.159256123877	926.243969141258	684.979218124752	518.685624794775	825.716578278255	852.007074439817	887.001131655384	1266.72777514303	1137.63188389955	1321.06724664202	816.363513919201	887.501751055722	1092.3568701466	1024.16553588074	538.805287590876	827.938379687925	952.315655067357	1206.08589159406	1232.95286684417	1176.77459828888	1072.99040480292	FALSE	blue
gene977	2367.83683909314	416.24693461831	340.291555338868	1050.76013723403	581.552643347748	473.196585186406	187.736750995735	359.657075003023	330.943254477671	154.657349141532	358.460938959936	428.538534318238	374.2238991934	198.917661494041	391.025300984835	487.792881322044	292.550112486533	503.823157556002	279.377652813761	334.474791451301	408.077095505928	160.915375063858	656.790550212041	254.464101518312	197.758003403267	0	164.190291372707	98.5688023632822	0	194.266535995825	0	518.193183693265	602.784419024846	866.917210893776	613.838096839385	FALSE	blue
