agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene115	0	0	0	0	0	89.74	1.88	0	0	3.92	5.87	6.06	0.84	1.89	3.56	3.34	0.91	0	560.38	3.59	0.77	0.66	0	251.82	277.37	0	0	1.26	0	0	0	0	0	0	0
gene119	3299.64	4851.52	1282.66	3400.85	11950.06	14242.43	465.7	227.43	242.69	227.04	563.27	775	757.39	666.15	1651.95	1242.61	576.09	481.1	120002.91	851.13	1040.08	194.14	93.05	63634.8	42750.98	62.13	28.67	70.17	33.38	50.52	91.08	198.15	113.29	160.84	126.47
gene122	0	0	0	0	0	0	1.89	4.38	0.62	0	0.5	0.74	0	0.32	3.59	6.76	0	0.87	0	2.57	4.07	0	0	0	0	0	2.02	0	0	2.02	0	5.93	0	7.55	1.5
gene123	35.6	1898.79	293.31	537.31	3324.33	4665.79	101.57	100.45	59.09	32.24	132.7	143.26	108.26	112.51	219.46	164.24	119.76	90.77	29983.6	194.53	203.58	66.17	10.1	15825.5	8695.07	10.12	6.06	8.08	15.8	9.51	6.06	44.84	32.18	55.52	17.88
gene124	13.15	35.38	84.93	319.13	1409.7	1883.13	46.16	64.06	26.48	23.5	64.95	54.78	46.05	56.46	128.69	100.33	52.5	32.38	12971.6	88.04	98.98	19.79	6.06	5527.5	4326.53	6.91	2.02	4.04	6.05	2.32	9.34	40.61	16.39	17.02	20.26
gene126	8	751.77	32	2	779.09	1074.97	67.31	65.22	24.97	34.72	38.55	73.61	39.71	42.99	172.66	83.34	46.14	36.67	5998.68	63.99	84.22	13.47	11.6	4251.66	6096.45	0	2.02	4.04	2.02	4.04	6.06	28.81	7.31	18	8.86
gene127	9.77	700.93	207.26	442.16	1514.89	2175.59	111.62	71.68	55.16	53.46	73.78	103.58	159.58	90.06	220.29	175.43	105.48	58.71	18439.48	144.35	131.7	14.08	12.11	9725.58	9383.38	6.06	0	5.67	3.99	8.08	5.63	45.76	24.5	42.92	28.47
gene128	220.6	620.43	194.74	391.22	2185.75	1640.06	45.53	37.25	26.81	8.43	46.73	51.78	37.35	66.41	140.17	111.73	102.83	45.02	25960.83	126.54	163.34	44.52	22.64	21199.2	10199.01	19.37	8.08	4.08	11.36	14.89	12.85	32.6	5.42	43.18	19.1
gene129	275.13	1379.66	297.64	629.06	2406.07	2515.8	53.84	56.38	41.52	36	106.35	106.11	88.09	83.64	288.83	173.39	184.52	68.93	30468.63	207.06	180.35	27.35	5.27	17365.39	11440.85	12.5	8.08	18.18	12.19	11.06	20.21	57.73	34.93	62.06	25.09
gene131	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	1.37	0	0	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene132	3.03	4.2	0	0	155.93	45.72	0	4.82	0	0	3.45	3.93	2.5	2.5	5.92	20.07	3.32	1.36	320.22	3.35	7.03	0	0	333.93	193.37	1.09	0	0	0.28	0	0	2.68	1.22	2.63	0.79
gene133	0	0	7.95	0	0	0	8.08	5.14	0.83	0	4.22	0.46	4	3.98	9.03	13.11	7.91	1.48	421.32	0.08	4.25	0.03	0	164.03	248.62	0	0	0	0	1.72	0	4.79	0	11.36	0
gene135	216	102.96	40.52	130.61	260.89	336.97	6.54	10.59	8.98	6.62	9.89	5.36	11.76	8.97	36.89	18.55	5.72	4.98	1991.81	6.3	21.28	0	7.51	1788.68	2222.38	0	0	4.04	0	5.1	2.02	5.33	6.54	5.59	7.57
gene136	893.68	21.65	111.48	478.6	918.03	1830.52	72.27	78.19	42.54	11.61	77.16	55.2	73.82	39.09	138.53	91.49	52.44	45.07	14026.97	64.38	87.48	57.65	4.04	8996.48	7389.54	0	0	7.86	0	6.05	4.03	32.05	10.91	25.79	5.78
gene139	0	0	0	0	0	0	0	0	4.18	0	0	0	0	0	9.64	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0
gene141	1416.15	3034.05	560.56	2345.74	7472.19	10401.86	242.85	158.68	140.47	99.73	342.09	437.71	682.48	524.88	1186.37	882.69	600.71	464.67	188391.02	837.54	908.49	121.16	81.22	105001.07	70692.01	63.33	37.73	82.31	60.42	58.95	100.79	149.34	131.65	159.24	73.92
gene143	2	406	162.91	346.38	319.36	1234	18	36.64	7.52	6	34.33	32.02	49.11	41.49	126.69	87.68	84.98	84.51	20235.86	118.29	96.57	50.09	4.04	17023.62	7014.26	4.04	11.89	2.02	18.18	14.14	20.05	27.44	12	22.85	10.6
gene144	1466	25.88	41.15	50	667.47	1041.22	69.76	75.64	78	40.15	52.17	75.85	41.73	63.03	129.46	96.83	71.85	53.64	12283.16	134.2	135.12	18.84	2.02	5829.91	4431.11	6.03	6.06	11.7	0	8.5	10.1	18.28	7.74	17.32	8
gene147	13.94	864.3	118.95	418.55	1661.39	2515.62	50.82	64.7	24.27	25.51	85.24	75.72	85.59	66.11	166.98	109.13	51.67	29.79	14074.86	120.86	45.69	18.14	18.18	6294.86	4609.73	11.5	0	3.55	2.09	3.58	2.22	33.41	20.83	37.51	20.49
gene148	1564.75	3643.86	592.92	1908.98	7381.17	10135.38	401.78	344.73	337.54	131.35	393.92	390.15	403.2	364.49	831.4	680.87	313.28	188.59	61663.68	400.9	469.7	67.3	37.09	34835.76	26360.98	20.2	20	36.8	42.06	35.67	24.52	190.53	96.67	206.63	96.32
gene149	2282.81	38.5	263.62	883.36	961.78	1339.97	26.12	20.67	10.25	12.19	24.75	47.6	41	28.33	87.91	71.44	30.23	14.65	9567.86	59.2	62.15	7.24	6.06	5141.05	2640.48	3.99	4.04	0.21	2.14	1.95	2.16	36.51	17.3	34.02	6.53
gene15	10.73	27.64	76	346	1575.13	1297.99	141.56	81.06	65.82	21.01	105.22	58.26	65.67	112.34	225.59	163.13	39.2	26.21	9191.64	83.14	95.44	25.04	8.07	7494.77	5685.19	7.52	4.02	10.09	4.04	2.02	8.08	62	25.06	29.9	7.72
gene150	1227.91	2178.28	520.62	838.44	3639.07	2924.15	101.81	51.84	69.41	30.88	99.34	73.93	149.92	142.1	344.75	258.16	168.94	123.59	34127.6	279.97	330.13	44.03	27.62	19293.93	16588.84	16.81	4.04	25.21	6.02	19.83	23.98	125.01	71.98	86.37	54.82
gene152	0	2	28	6	245.28	462	17.73	20.73	10	6	24.7	12.89	12	16.83	88.82	40.7	30.25	24.24	5769.76	34.35	52.21	8.08	1.96	4484.86	3632.79	2.75	1.99	2.01	5.83	4.03	11.88	18	6	31.55	7.38
gene153	24.11	854.91	90.57	652.84	2478.88	2538.38	126	111.04	74.41	50.17	119.19	138.21	168.24	133.72	252.9	211.09	138.87	70.87	16811.05	197.15	210.26	26.72	33.04	13954.74	11444.16	11.53	16.16	22.23	16.16	16	23.88	60.08	25.5	44.67	23.81
gene154	21.88	493.42	391.21	868.66	3344.46	5231.87	61.57	82.75	37.56	39.93	144.65	141.71	102.47	90.48	224.83	225.45	136.81	84.02	30614.86	185.33	192.74	62.09	24.85	21903.66	14115.28	22.2	3.9	14.09	8.08	12.12	24.09	33.9	46.24	50.13	12.17
gene155	220	213.21	212	60.4	1736.01	1495.26	24.42	14.44	25.01	15.38	39.96	24.48	43.71	30.21	74.72	52.53	20.82	6.69	11205.76	47.15	68.53	13.01	2.02	4738.18	5926.26	1.78	4.04	2.02	0	7.95	11.29	8	17.85	20.92	2
gene156	26	471.19	344.17	462.98	2366	2613.83	142.47	60.04	71.5	39.44	90.2	86.75	91.77	104.97	273.35	179.35	90.06	49.58	13901.29	98.99	128.36	10.06	10.1	8443.09	10234.26	10.1	6.06	10	12.11	6.06	11.54	85.43	34.87	50.7	18.86
gene157	190	14	35.75	240.2	1004	899.81	39.12	51.8	30.52	10.49	29.24	52.25	41.99	40.18	108.05	106.99	30.83	41.98	4780.16	41.36	26.24	4.04	2.02	3350.23	2358.91	2.02	10.06	2.02	0	2.02	0	25.97	9.24	20.2	11.04
gene16	367.97	1574.86	346	1731.97	3860.19	4059.91	279.78	205.63	162.32	111.32	261.68	252.38	339.83	284.66	537.3	444.28	226.88	150.28	51531.46	257.56	335.02	99.09	48.22	46063.64	22268.23	28.14	27.43	17.97	13.84	16.16	31.93	115	59.94	123.28	40.07
gene160	1896.18	564.09	309.69	1071.36	3941.52	3332.64	281.03	272.99	121.03	131.83	367.65	422.14	534.37	462.89	927.15	594.82	387.95	213.71	55954.19	484.77	753.93	123.13	43.32	42802.58	23508.68	43.19	32.31	46.47	4.15	23.71	51.66	92.37	51.04	66.58	46.55
gene161	2175.92	2719.62	803.04	1728.44	6892.95	6782.87	383.53	237.19	218.19	186.56	419.03	467.1	508.54	471.9	1047.95	777.8	629.66	463.72	160936.93	1006.07	1159.5	168.67	80.83	93929.47	54343.39	55.19	47.72	77.92	41.68	63.61	69.68	262.09	163.46	239.73	92.04
gene162	764	1922.36	905.4	2980	12724.78	14807.46	522.1	408.26	360.68	227	511.4	796.04	537.52	596.66	1182.58	991.23	412.05	249.86	94558.5	563.47	917.65	231.53	139.19	71813.97	62624.95	92.74	97.94	65.57	47.41	30.29	63.18	233.88	145.01	190.85	112.81
gene163	262.77	81.7	361.04	392.92	2611.03	2883.25	184.34	180.57	105.84	64.7	136.23	153.18	116.36	135.54	289.8	173.03	95.46	59.3	18339.34	126.96	301.43	4.04	4.04	9594.24	9442.42	7.21	4.04	10.04	1.91	11.47	19.05	85.84	26.8	117.62	18.97
gene164	452.4	650.05	240.3	746.89	1982.93	2861.94	175.85	103.95	112.84	56.9	78.52	81.31	121.86	90.86	199.54	165.16	87.24	49.25	21550.76	103.16	79.6	14.02	12.21	9623.44	9361.03	8.34	0	6.72	2.02	4.53	18.11	54.31	31.44	51.24	27.94
gene165	6	8.47	92	8	374.72	677.18	28.51	32.17	33.93	9.74	23.89	19.18	29.92	28.05	56.88	55.34	12.89	7.1	4692.49	24.75	29.99	8.08	0.63	2717.83	2185.05	4.02	0	3.7	2.02	0	0	6.17	3.05	11.36	0
gene166	422.44	1087.93	218	617.97	4095.32	6619.23	228.11	133.99	171.5	114.8	225.54	225.05	320.06	277.85	516.49	291.36	88.77	47.98	18366.19	53.78	164.92	57.74	14.11	13715.83	7640.37	11.6	5.95	13.92	10.08	4.04	12.09	53.34	55.52	36	23.72
gene167	6.99	16.97	104.19	90.94	1018.86	1216.12	49.76	49.06	47.75	16.26	42.42	80.66	69.32	42.73	102.89	78.36	19	19.41	3586.87	18.95	52.51	4.71	2.01	2341.94	2379.95	6.3	0	2.02	0	4.52	0	18.13	15.63	17.64	7.49
gene168	744.23	580.49	241.74	916.89	2287.68	3419.85	218.72	161.41	132.46	110.15	287.61	332.03	403.8	269.52	612.85	428.92	174.08	149.11	35529.06	181.18	335.11	53.1	14.06	26868.26	16958.15	11.97	6.97	26.29	19.75	18.47	27.73	72.35	57.32	73.28	41.45
