agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene521	540.09	45.43	204.62	154	2066.46	3163.7	125.52	111.39	94.28	41.66	80.24	79.54	89.23	99.07	374.67	366.52	219.26	190.9	41731.29	328.73	362.68	64.27	25.82	23590.94	11568.64	12.13	6.06	20.17	6.06	4.04	15.25	92.72	14.78	88.06	25.56
gene522	2	11.14	22	4.33	840.31	300.44	25.74	19.16	6.77	5.76	10	9.74	31.06	20.1	61.55	58.15	21.28	9.8	3483.19	18.81	16.96	2.02	4.04	1421.34	1883.74	2.37	0	0	0	0	2.69	10.37	5.99	21.62	6
gene523	879.89	1052.13	270.95	755.37	3866.11	2343.3	195.3	134.56	133.78	83.53	200.61	148.16	238.59	239.01	450.81	362.46	221.35	137.32	58625.88	276.87	313.95	90.1	25.42	27869.27	24682.36	20.97	6.03	28.04	11.65	16.01	40.62	87.56	51.19	87.05	20.17
gene524	369.58	520.14	209.63	268.13	2418.38	1942.74	71.15	59.96	55.34	31.56	82.15	76.5	154.18	99.23	265.68	194.51	54.85	32.94	11686.13	71.6	92.64	10.94	10.77	6540.42	6419.8	7.03	8.08	15.51	0.43	3.97	9.52	43.97	28.23	26.56	11.14
gene525	259.67	3276.46	313.95	2155.73	6235.58	6705.73	226.12	185.69	183.17	122.41	235.2	296.9	289.28	261.71	676.88	493.01	174.22	117.19	30351.06	215.45	356.91	45.68	63.08	19550.46	14434.03	36.29	15.64	23.84	20.85	5.74	23.65	116.82	71.77	110.97	56.2
gene526	23.53	1368.4	171.03	1041.07	3018.89	1869.42	165.36	139.22	111.5	57.07	123.91	183.28	136.39	144.32	352.52	216.57	82.69	82.1	15278.25	164.17	352.4	61.48	40.83	10041.26	9327.42	18.23	4.04	4.43	13.32	12.07	14.47	97.81	47.07	80.7	32.09
gene528	573.21	1033.85	309.41	555.95	3221.81	3096.78	220.54	61.37	72.76	47.5	140.86	158.47	183	133.87	428.26	301.71	72.35	38.36	5247.19	69.38	78.37	27.53	12.12	3834.61	4298.5	10.1	5.96	7.59	8.44	4.04	5.73	27.98	15.39	15.26	15.51
gene53	39.14	769.67	312.77	704	2553.18	5997.3	190.73	168.51	92.82	47.47	185.91	185.25	250.85	217.54	497.75	346.19	159.21	105.86	31634.01	283.25	315.27	38.9	8.42	19564.81	11465.44	16.15	16.26	25.57	14.05	30.2	26.88	105.53	46.42	48.88	35.59
gene530	13.8	19.8	64.23	258	777.32	1548.73	134.72	100	87.93	39.09	95.58	117.91	106.47	107.87	337.23	241.15	121.79	66.79	7794.38	202.85	279.73	5.13	12.72	3895.62	3735.15	18.43	4.04	15.67	6.06	26.09	30.08	39.71	13.8	30.45	23.45
gene532	539.28	642	86.17	675.48	1192.72	1392.56	149.06	114.67	76.34	42.25	116.65	161.39	87.94	117.26	304.28	217.23	42.46	53.59	7462.23	93.31	88.8	10.15	10.1	6885.54	4477.44	2.22	0	4.06	2.43	5.93	15.72	21.81	23.18	31.38	17.86
gene533	3090.58	4208.55	1380.6	5276.48	9863.25	16495.56	509.24	354.24	383.28	186.88	779.51	852.22	1169.58	830.13	2114.75	1599.96	728.67	517.02	107506.42	662.49	913.72	170.64	79.82	78560.54	40495.48	52.4	31.79	75.37	42.43	42.66	74.53	226.37	126.02	153.53	110.81
gene535	953.45	584.66	421.03	1021.26	3376.34	3598.45	457.14	231.41	242.35	127.91	320.66	331.86	342.36	395.07	883.72	568.07	163.31	127.27	18849.9	192.68	350.23	46.16	14.2	14169.1	10110.25	16.11	6.1	38.48	13.92	12.83	40.08	102.78	43.3	83.6	45.73
gene536	2504.84	3077.44	955.01	3045.2	8815.79	9877.72	719.79	426.91	350.57	214.33	588.46	615.63	645.04	632.98	1680.21	1247.71	478.86	451.67	85441.44	741.79	762.05	223.04	83.58	70275.72	38062.58	52.24	39.19	35.38	26.21	42.91	59.32	318.94	124.71	232.88	78.57
gene537	677.34	5635.57	979.54	2059.07	8780.15	15155.58	619.82	468.49	333.19	237.2	635.7	749.14	998.56	694.92	1697.27	1085.34	493.66	334.48	110862.74	750.96	847.02	126.91	84.39	62854.42	41007.56	58.23	24.66	56.01	19.85	50.34	111.48	273.93	147.35	214.46	75.03
gene538	4	299.31	38	150	451.54	241.74	21.35	13.72	3.14	13.73	18.78	38.01	23.68	28.37	79.18	55.1	33.95	12.03	3361.14	42.18	59.3	5.6	2.02	1518.93	1219.91	0.42	0	3.83	0	4.04	0	8	2.44	4	2
gene539	672.62	1189.72	565.84	1444.01	7699.77	8517.35	245.93	163.53	117.23	59.24	196.34	223.3	184.55	209.82	539.54	371.81	123.64	85.32	30380.38	177.71	380.27	45.96	31.17	37010.12	31644.56	50.75	27.71	61.62	46.03	25.6	66.13	130.31	66.62	163.43	53.16
gene54	5.69	190.83	185.41	645.94	998.47	2803.19	103.39	99.66	61.78	55.74	145.45	129.05	196.22	175.65	322.94	266.41	116.18	127.32	28625.14	194.22	184.92	45.37	29.52	21518.75	12850.25	16.23	6.56	24.53	14.14	11.98	17.57	69.71	33.83	69.43	18.13
gene540	126.29	1350.58	271.67	659.6	2599.19	4081.13	203.11	115.73	114.57	119.52	178.99	228.07	156.53	162.88	498.87	417.37	68.71	97.56	16592.96	134.99	336.7	41.31	19.51	13203.93	11361.92	26.76	11.51	26	2.02	21.43	16.62	59.71	29.44	36.97	30.33
gene541	842.94	2745.89	1005.52	3484.41	12465.43	13714.75	474.88	312.48	309.25	190.24	511.89	421.14	512.85	502.39	1321.92	1020.27	393.84	305.03	80192.87	580.2	962.28	151.43	60.71	51189.4	40478.77	53.74	40.26	68.97	23.34	54.16	75.66	219.54	117.33	143.31	82.9
gene542	12196.03	14764.64	4474.83	14151.92	62696.65	70253.76	1984.84	1764.69	1334.26	889.5	2149.81	2631.39	2372.55	2499.39	5427.85	4199.14	1933.33	1000.47	454626.21	3067.89	3332.03	2805.96	1197.74	614961.03	230185.42	544.94	532.35	340.14	346.92	141.71	263.58	852.92	529.95	873.53	334.95
gene543	763.45	750.97	273.6	1359.89	4263.2	4898.08	265.13	210.29	168.26	111.01	293.73	356.84	370.39	389.3	822.12	633.03	213.88	191.85	54181.45	274	400.76	88.13	28.15	38504.23	34630.45	44.19	27.36	39.19	18.12	29.14	40.08	101.91	94.82	90.62	39.99
gene544	2066.45	2690.81	728.89	2475.74	9053.14	10759.97	408.7	301.74	300.3	135.29	528.34	542.46	795.97	646.64	1609.54	1022.26	464.07	277.98	150198.4	572.82	753.63	244.4	103.03	120663.08	78989.95	97.81	88.66	63.82	55.09	47.98	84.82	369.44	239.76	167.14	107.21
gene546	0	0	24	46	34	28.81	6.71	7.1	12.21	2.2	12.02	10.13	16.38	2.02	32.17	11.09	12.21	9.03	1762.28	4.39	20.84	2.93	2.02	1035.85	854.32	5.25	0	4.04	0	0.48	0	5.47	6.75	1.49	1.88
gene547	439.54	687.54	116.2	98	424	675.11	18	7.08	6.62	2	19.01	17.14	13.54	28.86	40.36	40.12	15.34	15.79	4570.88	25.65	21.63	3.62	0.28	2606.62	2570.35	2.02	0	0	0	0	7.64	15.42	4	5.55	4
gene548	1867.09	4472.44	833.08	2819.36	8588.73	7738.6	613.67	399.57	341.82	178.19	416.5	521.79	634.02	445.35	1192.97	834.8	538.42	348.39	96954.66	600.99	864.06	485.63	284.4	147136.38	111264.42	125.28	100.41	119.29	133.53	45.6	79.09	385.22	295.7	284.94	126.22
gene549	194	357.28	107.64	152	1912.15	2073.17	48.44	64.77	30.19	11.64	37.29	47.18	41.55	67.88	212.09	117.2	124.45	101.67	20333.24	137.28	243.38	18.14	2.4	12197.13	7148.38	18.81	4.04	12.47	11	17.84	12.1	29.57	27.25	25.68	19.42
gene55	576	4	22	318.69	414	48	13	0.24	9	3.55	11.09	10	13.56	5.46	118.21	93.12	71.49	49.08	15355.68	104.83	178.34	9.92	5.72	6816.79	8518.46	2.02	2.02	9.96	1.68	6.06	13.87	69.16	11.65	45.83	15.2
gene550	511.93	69.38	92.82	105.44	748.45	849.35	128.2	70.35	66.74	43.8	121.24	151.39	99.18	136.29	302.83	192.37	103.17	55.59	7196.53	84.48	137.76	35.87	32.51	7911.85	8432.42	5.65	10.2	8.22	6.99	3.35	10.7	44.93	13.85	20.36	16.3
gene552	0	2.7	0	142	127.02	17.55	20.72	21.81	13.6	5.17	5.21	6.06	11.98	17.48	31.12	17.68	14.35	5.08	2138.11	21.77	29.2	6.06	2.02	1229.07	1515.09	1.88	0	0	0	4.04	0	7.03	1	16.91	0
gene554	669.26	378.26	110	568	3010.97	3749.08	123.38	79.99	81.85	39.91	93.81	116.9	114.65	115.99	280.26	169.97	98.37	71.51	24399.08	132	155.42	21.88	14.84	11945.87	9853.6	10.09	4.89	7.52	7.95	13.29	25.79	70.51	31.21	80.49	24.9
gene556	0	0	0	0	32	0	0.8	1.37	0.31	0	3.9	2.42	2.39	6.16	10.35	8.15	2.55	6.02	495.43	5.22	3.77	1.08	0	300.46	503.92	4.17	0	0	2.01	0	0.38	0	0	1.95	0
gene557	1014.13	2818.23	428.99	1871.97	6744.63	8516.89	253.47	156.55	167.57	74.11	356.9	432.01	448.78	457.12	863.76	683.26	401.1	261.25	78752.9	512.08	600.05	103.6	64.31	53255.36	53413.72	69.81	39.6	47.52	31.62	36	71.65	180.69	115.07	115.86	71.68
gene558	0	0.68	0	0	30.86	18.42	5.24	0	1.13	0	1.65	0	0.2	0.85	12.61	0.94	8.05	0	104.9	6.81	5.65	1.8	3.44	91.57	84.08	0	0	0	0	0	0	2.83	0	3.74	0
gene559	0	2.72	0	0	180.38	29.4	0.72	1.88	0.04	0.01	3.31	4.35	2.06	1.99	0.64	2.66	1.63	0	265.01	0.59	1.31	0	0	352.42	423.24	0	0	1.23	0	0	0	1.11	0.01	0.78	1.85
gene56	390	38	68.52	235.98	1513.22	1589.96	62.33	73.31	62.77	34.73	73.43	84.09	71.3	62.92	157.45	120.61	59.57	30.17	4504.87	37.58	114.57	6.06	6.06	3688.48	3342.89	8.08	2.02	2.02	0	4.04	8.08	21.88	8	24	10
gene560	6	31.95	94	308	1827.35	1598.72	68.94	108.58	64.4	28.39	66.57	117.57	83.35	66.99	198.86	135.47	52.17	48.01	12901	95.65	97.43	16.15	14.14	7427.13	6353.27	5.29	2.02	7.54	6.06	3.99	6.04	27.46	12.32	11.46	9.46
gene562	2282.72	2062.74	577.78	1404	5033.5	7620.3	164.96	121.01	96.83	165.41	286.05	341.33	258.69	249.09	726.84	481.68	214.88	131.57	53266.29	384.58	512.02	223.34	89.64	58182.56	30421.69	58.04	43.98	40.52	29.37	13.6	39.26	133.48	94.55	110.62	47.46
gene563	2	236	0	0	404	12	42	14	17.02	0	8.08	23.94	4	25.89	130.55	119.46	90.06	30.3	15055.71	49.72	120.02	6.06	6.02	8388.72	6223.6	4.25	6.81	8.08	0	4.26	12.11	35.8	4.57	22	4
gene564	4017.04	6394.04	1582.95	4671.85	15301.79	20587.3	257.5	167.59	181.37	219.38	368.14	531.2	688.66	531.2	1319.29	1120.02	587.25	600.35	237868.46	1361.96	1009.58	283.37	155.53	206187.11	136521.58	150.41	110.14	181.85	92.24	123.88	167.5	151.8	206.08	151.6	144.47
gene566	1331.35	329.56	110.7	176	666.87	2407.17	73.9	56.19	36.11	23.67	85.8	72.99	117.03	92.79	259.13	211.14	59.92	47.32	14046.6	104.41	109.71	15.19	6.06	8646.81	5815.56	7.56	7.55	5.59	10.49	6.69	20.36	37.36	22.62	26.56	31.91
gene567	140.25	975.26	172.92	502.21	1507.66	1231.3	48.01	23.41	9.79	26.28	24.62	52.1	61.52	56.32	142.85	97.63	36.24	33.42	8835.3	59.15	80.4	9.76	8.85	6966.46	6865.44	18.21	10.1	1.11	0	5.37	12.26	33.18	11.73	27.46	15.86
gene568	1367.4	1257.5	232.96	450.7	3314.24	3999.56	128.23	91	61.71	35.6	85.51	120.95	129.23	120.17	521.76	402.59	125.1	74.86	29877.95	192.72	244.21	58.68	51.72	26630.33	25106.42	23.47	17.46	15.01	28.22	16.85	23.77	160.9	71.22	90.35	55.06
gene569	484	120	256.72	522	690	1297.91	67.59	55.77	31	21.26	84.88	68.43	68.72	96.22	170.73	101.53	40.34	42.41	11848.69	59.44	101.51	35.9	24.24	13864.26	6856.93	6.06	14.01	6.06	10.1	4.04	6.06	26	27.53	10	6
gene57	2	12	6	222	230	506	38.08	17.77	16	14	34.3	20.17	46.98	29.8	103.92	44.1	14.14	17.83	4214.64	44.34	30.19	0	4.04	2141.59	1577.33	0	0	7.36	4.04	0	4.04	12	4	10	0
gene570	1582.56	75.34	174.81	765.7	2402.99	3059.92	61.5	68.09	39.66	29.47	137.8	143.51	117.28	92.33	268.46	243.67	76.92	62.27	15149.33	96.12	139.78	51.26	29.43	14639.47	11597.57	22.15	6.57	15.61	4.36	9.47	18.84	39.08	37.7	30.71	22.73
gene571	1514.13	1200.12	149.09	821.56	4430.75	9833.3	192.84	133.4	128.41	75.34	120.83	181.66	184.47	167.44	272.2	231.89	136.99	68.33	34135.9	240.36	283.23	84.45	16.16	17527.85	21069.99	16.19	13.14	26.38	11.92	19.75	16.21	130.37	67.38	94.08	25.05
gene572	1439.83	1373.23	370.26	1456.77	7589.88	7567.68	240.86	232.29	133.39	116.27	230.43	269.26	228.92	279.92	648.26	506.46	201.83	180	53955.66	394.8	544.33	108.02	68.73	34760.46	35855.58	57.66	24.72	47.25	8.46	42.99	55.88	163.33	100.9	166.37	79.99
gene573	5.99	26.09	268.27	180.7	927.33	1694.51	344.21	190.66	216.88	100.03	216.47	221.84	257.89	211.7	649.76	474.45	182.6	137.84	26061.66	254.16	436.65	38.02	14.92	15678.68	13471.22	30.25	10.1	16.54	8.34	16.81	26.71	61.51	44.86	29.34	27.37
gene575	113.37	386.48	148.58	520	2062.62	2617.73	136.09	136.63	118.68	51.26	122.9	188.42	122.8	165.97	447.23	337.7	188.81	124.53	27292.23	201.66	279.14	46.37	36.83	16635.27	13032.75	21.24	11.46	34.63	7.94	13.65	26.75	57.28	37.04	60.4	37.61
gene576	987.73	88.61	360.21	1321.62	3766.73	4215.36	207.2	117.71	114.4	75.37	207.04	222.86	210.34	230.58	555.44	487.57	208.46	180.09	39701.31	329.66	356.3	37.71	33.62	25044.59	18119.5	27.21	14.61	15.65	16.21	12.38	23.35	87.43	57.71	116	41.3
gene577	9.36	533.26	128.75	586.28	2751.52	3554.34	46.4	23.63	10.25	7.22	182.99	232.22	315.47	204.98	692.68	486.66	419.82	301.37	54901.75	481.09	598.13	74.64	59.88	28047.09	39276.85	34.81	14.97	83.79	19.92	36.19	50.56	44.21	78.08	40.81	69.67
gene578	29.4	653.64	324.42	378.93	2340.95	2510.25	209.31	93.87	56.83	71.78	111.48	187.2	252.26	144.5	468.97	283.37	139.71	102.13	21560.54	170.52	235.63	25.89	13.81	11826.83	10076.25	5.55	2.21	26.25	6.06	6.26	15.49	75.95	28.1	49.47	19.57
gene58	3.79	29.54	68	138	684.5	1195.52	31.43	30.75	18.09	30.88	32.26	36.95	36.06	46	85.67	85.23	29.38	33.44	13115.54	63.07	75.16	0	0	6715.75	4978.55	9.96	2.02	5.24	2.02	5.62	4.04	29	16.97	16.96	8.69
gene580	1782	4503.42	749.63	2822.25	7745.59	11538	237.55	148.68	122.82	68.89	207.42	230.09	224.37	221.73	516.95	436.91	99.34	96.54	27363.15	176.5	227.9	71.6	22.18	23565.52	18344.89	22	14.14	35.72	26.19	8.08	19.84	137.15	89.51	122.59	44
gene581	592.98	353.54	87.07	164.19	1851.83	1259.87	219.1	153.92	135.96	57.91	169.1	224.82	152.43	179.92	389.67	306.93	144.99	144.69	24189.92	185.16	219.81	47.14	17.79	14878.44	14585.98	20.92	13.73	45.47	24.42	8.31	20.38	78.18	38.95	81.01	22.61
gene582	1568.38	1472.11	796.72	1216.04	6370.83	7303.26	705	438.23	352.62	203.44	443.55	601.62	649.79	528.73	1265.32	944.17	645.5	536.39	121744.09	741.19	970.75	254.47	136.35	95466.55	69227.38	50.45	72.16	107.9	51.28	45.68	52.31	257.47	143.72	172.5	118.55
gene583	1868	932.46	104.11	323.28	2433.41	3043.93	100.88	90.52	55.56	41.5	112.24	154.72	201.82	129.86	265.91	283.4	124.47	58.74	23637.28	115.91	174.98	14.14	14.03	11789.28	12220.35	10.09	2.02	7.35	6.06	12.07	16.15	73.14	45.08	79.01	11
gene584	1279.75	2419.39	761.85	1941.87	8771.63	11975.29	349.36	346.45	270.45	189.63	570.92	794.7	681.6	725.01	1280.95	1222.69	692.19	477.63	138508.15	974.16	1150.45	190.47	139.77	90498.93	65203.9	67.59	57.1	80.03	59.03	73.41	116.5	243.56	179.91	272.62	127.9
gene585	0	0	0	0	17.17	0.64	5.67	2.15	2.41	1.72	1.94	4.25	1.81	3.43	8.47	8.79	0	2.02	316.44	6.94	9.49	6.06	0	235.03	468.42	0	0.03	5.77	0	0	0.71	2.84	0	3.7	0
gene586	0	0	0	0	121.54	0.42	5.76	0	4.84	1.21	4.28	6.65	5.08	9.21	11.46	8.06	4.53	1.88	357.89	3.43	7.09	6.33	0	525.95	687.46	0	0	0	0	0	1.75	1.67	3.39	0	0
gene588	0	0	0	0	0	0	0	0	0	0	0	6.05	0	0	0	2.92	0	0	0	0	0	0	1.19	0	7.47	0	0	0	2.36	0	0	1.61	0	0	0
gene589	45.67	755.52	257.52	1116	5710	5889.81	93.19	129.87	67.64	49.28	112.55	153.44	130.15	145.54	394.53	260.66	68.94	58.94	15379.15	115.57	171.48	43.15	27.09	12182.38	5859.95	14.01	8.08	10.73	8.08	8.05	7.24	44	38.86	44	28
gene590	1099.81	346.75	371.85	570	5716.28	5946.01	245.19	180.48	126.77	98.3	247.13	329.15	317.77	345.94	823.19	661.31	317.34	229.71	88535.97	503.93	709.95	95.26	34.86	49373.35	43741.99	36.07	18.18	21.4	14.13	23.87	37.95	181.26	67.17	111.8	48.2
gene591	172.54	1653.13	582.21	1466.18	3403.7	5577.52	309.99	82.21	113.29	152.71	373.79	338.09	492.36	353.31	930.6	792.24	279.15	189.73	83334.21	406.6	436.14	113.89	51.9	68988.52	39589.66	23.32	16.6	25.93	19.76	23.1	26.83	91.69	77.17	64.76	39.27
gene592	726.84	1747.77	420.59	673.89	2297.01	3422.17	288.88	259.67	141.29	124.36	269.88	371.25	326.33	318.03	737.1	612.37	186.64	211.29	50497.43	281.31	463.08	106.53	68.77	41341.28	30679.87	42.73	20.16	53.41	25.83	19.15	45.17	91.85	57.95	103.35	31.76
gene593	149.68	563.83	140.26	317.77	1722.25	3079.62	333.06	186.04	191.37	79.09	265.41	344.26	166.09	229.28	468.76	386.48	113.08	106.79	19500.33	175.61	215.32	55.04	22.17	10213.96	13447.97	8.9	8.08	31.26	7.46	14.12	30.08	88.36	32.91	42.01	40.61
gene595	1181.79	4462.48	939.37	2792.53	11459.14	14657.13	263.64	100.34	115.17	147.56	541.89	541.21	571.43	595.55	1157.42	1054	305.89	304.16	70719.91	531.93	617.51	153.86	98.65	56587.95	34201.91	49.77	19.09	48.62	19.73	20.98	36.81	119.73	90.44	101.59	57.85
gene597	0	0	0	0	0	0	7.88	4.34	17.2	1.19	3.93	5.09	3.37	4.41	8.44	2.26	0.72	2.12	0	0.45	7.28	2.4	0	0	0	0	0	0	0	0	0	0.17	2.4	1.63	1.6
gene598	1745.15	3683.43	594.64	2047.05	7947.03	8785.56	277	164.02	239.85	158.13	389.56	542.21	457.88	409.44	998.73	832.57	355.67	248	75232.85	581.11	574.59	127.21	95.98	53793.11	49606.4	66.51	46.44	40.36	36.35	32.26	58.48	165.3	131.54	115.76	124.07
gene599	314.11	332.05	60.54	272.03	657.6	1174.5	28.18	15.92	31.14	8	27.84	39.41	42.76	26.6	91.16	44.63	41.4	18.22	6257.07	44.47	34.8	4.04	8.08	5176.19	3131.19	8.74	2.02	0	2.02	4.04	0	11.74	13.28	16.66	8.92
gene60	2835.61	999.15	649.75	1151.51	4440.2	5116.32	234.66	164.26	108.39	45.92	151.07	166.05	258.63	146.58	510.04	441.33	260.95	154.91	79682.01	349.36	412.83	22.77	31.43	29354.81	22836.37	13.25	0	36.05	15.11	17.98	36.67	214.88	112.37	161.03	74.36
gene600	0	1.78	25.83	21.85	0	112.23	0.36	0	0.12	0	0	2.02	1.96	0	6.14	2.79	1.97	2.69	545.92	4.02	5.91	0	0.94	324.84	430.97	0	0	0	0	0	0	2.01	1	0.76	0
gene601	0	0	0	0	0	0	0.94	0	0	0	1.59	0	0	0	0.51	3.07	0	0	222.66	2.02	0	0	0	108.42	236.95	0	0	0	0	0	0	2.72	0.46	0.73	0
gene602	1194	1343.2	430	1310	3771.13	7068	348.14	188.87	174.98	78.36	246.88	271.58	344.54	309.19	730.24	545.15	173.5	85.41	26327.28	212.75	378.18	52.73	49.16	28286.36	37277.28	33.72	9.98	54.38	42.42	6.06	18.11	157.26	86.3	108.71	58
gene603	1112.48	1768.05	201.56	429.79	1531.72	1894.56	182.34	209.07	162.34	55.27	170.35	231.03	131.97	154.32	435.59	332.38	125.74	97.39	19652.58	205.48	238	39.58	18.63	10312.99	9914.26	29.99	12.1	21.6	9.25	14.13	29.77	81.94	50.59	58.93	28.06
gene604	474.38	19.62	312.21	88.19	956.28	1206.05	73.66	66.68	35.15	17.97	35.03	54.75	60.02	71.39	120.93	111.31	55.72	60.36	11920.98	101.04	126.48	10.61	6.06	7439.79	6358.32	8.08	2.02	13.48	6.7	11.62	12.04	46.29	16.72	38.79	20.88
gene605	51.6	269.23	234.4	472.03	1422.01	2831.19	152.43	121.97	78.59	23.99	131.49	136.17	113.19	116.78	317.08	261.19	123.58	76.52	18885.89	163.81	131.7	65.57	25.72	15670.24	9389.65	7.9	10.08	20.89	13.81	8.22	7.87	60.24	19.24	45.39	26.33
gene607	662.64	842.71	373.96	589.6	2651.13	4077.56	250.54	194.59	114.03	103.15	167.58	172.99	148.63	185.39	718.56	647.68	346.69	222.1	55973.46	337.58	727.78	61.24	33.37	29054.93	18438.4	34	17.94	10.56	19.78	27.73	56.92	149.78	46.57	126.61	18.27
gene608	93.24	16.34	84.26	247.3	549.9	1344.74	99.1	100.02	77.68	37.08	33.88	51.82	39.44	64.05	166.1	100.24	31.32	12.85	6121.83	35.23	57.49	0.28	3.77	2498.99	1811.05	3.91	1.67	0.63	0	2.02	2.52	24.75	4.47	8.14	7.49
gene609	672.09	498.11	142.57	555.52	2082.45	2693.15	196.28	190.81	69.51	49.65	94.66	83.28	66.73	105.23	356.88	159.54	37.16	28.92	7749.6	45.7	80.12	0	4.43	3449	3107.49	3.96	0	8.51	0	0	1.45	41.82	6	30.26	8.72
gene61	7.99	205.66	40	117.34	2138.29	1763.25	55.81	56.5	18	25.87	39.48	49.19	57.54	41.15	141.93	59.49	92.23	54.54	14404.6	113.17	131.85	71.38	24.22	9571.16	11133.58	12.09	2.02	6.06	9.95	2.02	5.97	47.49	48.79	67.18	18.98
gene611	0	1.55	4	48.21	322.4	148.13	38.31	26.49	12	7.8	17.59	17.08	28.68	15.78	42.22	32.46	4.36	6.97	4199.07	37.09	63.52	0	2.45	1731.38	3178.73	0	0	2.02	1.74	1.66	3.51	10.82	2.49	18.02	6.88
gene612	1177.34	143.64	73.64	92.52	920.82	749.34	187.75	89.96	83.41	20.79	66.84	70.18	82.95	79.97	180.49	122.54	39.84	22.54	10808.15	70.26	89.04	10.23	7.21	8055.61	7774.98	9.63	3.75	20.16	3.1	3.99	19.85	71.77	46.11	74.81	21.66
gene613	0	7.09	0	78.19	164.53	535.36	25.29	6.5	19.58	10	19.95	24.26	11.98	28.28	34.96	52	9.52	19.34	5743.83	26.24	38.22	6.02	0	3372.47	2500.32	0	0	0	0	3.58	2.02	12.75	14	8.05	0
gene614	3443.65	5508.72	1464.1	4847.56	13778.74	17547.26	911.29	745.6	618.3	268.34	744.95	986.89	1175.84	887.58	2756.14	1918.22	1758.08	1298.65	234906.03	2728.63	2940.54	540.52	378.59	132532	157039.92	148.85	138.54	323.64	212.43	165.51	230.87	585.64	267.93	423.72	240.37
gene615	37.38	561.11	110.02	134.26	1515.51	1886.27	135.38	116.67	99.5	42.88	109.57	133.73	113.09	156.89	454.57	251.87	119.83	105.86	15286.56	197.77	236.21	10.2	16.11	9125.64	8606.95	3.16	3.79	14.41	3.52	18.4	26.21	56.04	17.69	29.35	13.49
gene617	15.7	308.68	105.85	491.38	1845.27	1948.7	117.05	97.52	75.52	46.58	195.72	264.93	161.42	219.55	294.41	364.02	118.12	119.5	23974.64	158.74	211.2	66.36	14.14	19478.15	17858.65	8.7	11.55	8.19	0	6.2	23.94	56.13	16.09	32.92	18.18
gene618	180.66	1822.65	855.87	1581.66	11024.64	13114.54	344.59	233.17	220.4	223.79	682.71	798.83	699.89	660.88	1240.11	1125.57	431.82	359.31	97539.2	527.38	650.44	125.89	43.02	65130.85	40232.27	26.41	22.22	58.15	31.99	28.27	30.76	60.77	54.25	83.9	53.93
gene619	11.99	414.61	112.2	29.25	2718.17	3755.42	385.86	187.43	158.53	77.49	336.74	391.35	219.74	295.48	574.24	474.02	170.39	167.76	24548.19	238.41	251.68	48.42	56.43	21644.2	17227.06	16.48	17.9	22.9	15.6	4.04	18.21	62.77	40.65	66.68	29.74
gene620	1615.02	3171.7	1076.44	4084.38	37105.77	43540.93	1680.69	1327.13	801.07	663.62	2546.37	2581.94	1679.85	1774.89	2874.47	2778.71	1908.67	1794.01	544484.1	2866.05	3141.02	1327.03	791.73	708025.27	679599.32	328.03	346.54	664.92	346.27	61.85	111.35	395.02	358.49	308.98	261.81
gene621	1749.81	6514.28	751.75	2334.62	10530.31	12482.62	708.62	637.64	576.62	203.39	647.61	856.19	924.42	812.65	1748.73	1392.12	663.95	456.39	113306	837.95	1292.47	134.86	88.76	64058.25	55314.93	61.4	40.3	90.58	58.93	54.58	92.86	356.43	173.86	316.4	167.87
gene622	15.68	366.48	57.09	86.31	681.36	830.84	61.09	34.33	43.79	15.85	40.1	47.03	63.39	55.45	135.73	92.14	91.07	36.62	31081.32	104.23	129.21	21.87	7.62	11975.48	8739.94	8.31	6.82	8.62	1.55	3.95	15.48	44.87	28.48	35.82	21.59
gene623	557.88	22.11	68.59	109.34	418.25	1740.52	64.1	63.38	28.01	16.71	29.2	39.79	32.57	39.72	79.81	67.88	90.18	53.68	31078.63	115.53	146.26	17.7	10.01	13561.72	8278.7	5.97	4.83	3.3	1.18	9.17	21.64	36.25	13.79	22.14	19.22
gene624	0	0	0	0	0	0	0.1	4.41	0.08	1.82	3.8	3.86	4	1.64	4.19	0	0	0	0	1.87	5.34	0	0	0	0	1.54	0	0	0	0	1.86	0.11	0	0.42	0
gene625	0	0	0	0	0	0	2	1.53	2	0	1.33	0.57	0	0	1.44	0	1.87	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	3.13	0
