agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00227736	0	0	44	11	7	7	0	0	0	0	6	0	10	13	1	13	33	37	42	40	49	30	19	10	5	16	94	89	13	11	16	30	17	19	0	0	0	0
Gene:WBGene00227738	2432	2085	2456	2536	189	231	8213	11441	1814	1632	13272	10746	5493	6591	4005	5355	7289	7735	6136	6631	4244	4002	7378	8492	8581	7295	15271	12140	7300	8077	5806	7048	2991	3311	12612	12773	16271	10934
Gene:WBGene00227739	249	673	5272	4561	259	312	6196	7364	793	634	3479	4156	1102	1975	970	1999	3545	4758	2547	2211	2831	2629	4202	4444	3835	4501	2864	2210	3337	3629	3053	3388	3930	3974	543	307	1010	249
Gene:WBGene00227740	124	462	5373	4450	232	373	3051	3128	358	293	1297	1478	293	375	281	466	965	1137	869	759	1038	948	1228	1341	1037	1230	2278	1818	11436	11682	10785	9959	12200	11964	250	187	409	132
Gene:WBGene00227741	2706	3447	3173	2705	194	195	2997	3442	623	320	1812	2237	284	446	226	510	1518	1993	1466	1117	1495	1395	1452	1599	1456	1756	3584	3178	1626	1900	1348	1756	3791	3559	647	563	1213	318
Gene:WBGene00227742	2	31	655	669	32	33	460	526	45	46	70	125	27	67	22	79	74	102	156	156	120	112	90	108	76	84	1027	856	2701	2839	1815	2504	3979	3772	134	73	150	51
Gene:WBGene00227743	388	162	1007	957	146	175	1033	880	293	268	2513	1911	308	460	307	278	677	926	745	643	564	571	808	947	724	920	924	671	653	557	560	731	754	881	181	167	215	99
Gene:WBGene00227744	118	124	711	499	37	9	1491	1863	180	127	1354	1642	56	77	63	150	408	570	427	360	310	329	65	98	66	99	123	115	909	776	859	775	1058	930	200	126	268	66
Gene:WBGene00227746	126	383	664	668	61	78	1547	1768	355	280	1163	1141	155	355	170	272	666	556	477	421	491	625	632	615	552	605	693	533	694	797	626	703	545	536	106	90	180	80
Gene:WBGene00227748	0	1	10	19	8	0	37	39	1	4	17	15	32	63	40	42	49	65	54	66	53	57	501	490	299	400	5407	5050	93	87	45	98	24	41	3	2	4	0
Gene:WBGene00227750	5074	5548	10380	9009	214	277	11268	13616	693	575	3594	4082	661	956	566	1251	2607	3214	2718	2321	2502	2161	2613	2908	2391	3099	3828	3427	2678	2890	2096	2771	4307	4431	1109	967	2246	567
Gene:WBGene00227751	2713	2380	3876	3112	97	142	6629	7538	523	382	3104	3271	504	807	493	864	1479	1796	1538	1256	1186	1061	1534	1399	1106	1410	1853	1500	2362	2463	1793	2393	3373	3718	1283	978	2228	596
Gene:WBGene00227752	773	815	2731	2141	146	145	2042	2388	368	279	2328	2182	468	760	429	642	1358	1793	1567	1498	1369	1226	1463	1665	1461	1823	1830	1741	2230	2014	1763	2052	2340	2370	399	234	510	185
Gene:WBGene00227754	1890	1717	4033	3117	227	253	2528	2874	375	325	1795	1851	102	127	86	171	722	717	592	616	690	608	627	657	755	784	1800	1629	1504	1693	1470	1581	2704	2551	242	207	484	200
Gene:WBGene00227755	2867	2923	4221	3016	573	641	2295	2357	790	578	1864	2488	396	614	389	662	2032	2670	2129	1588	2401	2192	1351	1686	1418	1739	2277	1963	2685	2922	2207	2749	4301	4165	1006	812	1561	387
Gene:WBGene00227756	1	3	133	118	2	6	236	271	14	8	4	7	20	13	12	32	257	228	238	203	39	42	133	79	106	88	86	72	5751	6207	5956	5595	5540	5770	0	2	4	5
Gene:WBGene00227757	5147	5402	12525	10678	480	600	17459	21155	1909	1553	11798	13045	1346	1820	1050	2022	4406	5287	4237	3411	3037	2879	5203	5516	4321	4057	10656	9616	5327	5911	4570	5563	8616	8847	1818	2221	4053	1284
Gene:WBGene00227758	5215	5720	7747	6899	232	253	17544	19382	1481	1169	7349	8122	786	1310	746	1209	3473	4013	3483	3078	3062	2696	3538	3739	3126	3224	4778	3954	5555	6047	5052	5916	11943	11295	1153	943	2416	684
Gene:WBGene00227759	2434	2522	7308	6009	264	350	10461	13312	1151	897	7816	9289	1128	1667	990	2499	4196	4777	4042	3385	3448	2988	4123	4359	3115	3565	10712	9564	5143	5528	4164	5217	7251	7060	2464	3166	4870	2362
Gene:WBGene00227760	1462	1695	5022	4650	369	362	7853	9556	1369	1231	4363	5524	614	818	455	1657	4541	5244	5638	4384	4524	3962	4478	5176	4825	5975	8086	7145	5927	6196	5012	5886	5871	6103	1376	1502	3150	831
Gene:WBGene00227761	0	0	0	2	0	0	7	13	0	0	0	0	1	2	0	1	3	0	3	0	0	1	1	2	1	0	1	0	0	4	2	2	1	0	1	0	3	0
Gene:WBGene00227762	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	2	1	0	3	0	2	1	1	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0
Gene:WBGene00227763	1195	1358	3233	2860	115	155	242380	365714	32941	32148	40479	52014	6375	5025	3036	20854	31422	29825	31878	20745	56425	38174	40403	44361	37049	47053	62405	55745	16837	17277	16453	16551	2130	2397	10567	7849	31975	5210
Gene:WBGene00227764	1	2	296	307	14	48	825	859	263	203	3450	3292	552	902	633	397	931	1097	753	681	834	967	287	341	163	216	66	56	306	249	278	216	248	266	13	3	2	0
Gene:WBGene00227765	2718	2354	8581	7456	303	340	4822	5377	390	349	3656	4147	306	543	318	596	1359	1498	1066	873	2072	1740	2483	2652	2095	2148	4366	3482	3746	3801	2877	3730	4153	4116	554	521	942	347
Gene:WBGene00227766	3062	3242	6109	5800	213	253	9286	9835	917	845	3888	4601	259	382	216	658	2071	2477	1973	1677	1688	1648	1775	2163	1962	2125	6129	5268	4262	4825	3548	4476	7261	7228	727	1052	1646	489
Gene:WBGene00227767	3941	4442	10322	8735	483	721	8894	10578	1313	1188	6446	7166	856	1276	745	1224	3731	4846	3823	3269	3023	3117	4846	5500	4834	5112	7900	7078	8124	8531	6780	7821	9083	9159	1554	1362	2052	877
Gene:WBGene00227768	850	1293	2942	2417	144	164	4261	4907	540	380	3569	3742	744	1043	637	1457	1777	2088	1672	1588	1526	1274	1975	1839	1603	1855	2611	2163	3522	3742	3003	3287	4636	4685	1798	1234	3096	684
Gene:WBGene00227769	929	792	1554	1258	106	80	1744	1993	286	242	2341	2092	275	403	255	321	830	990	848	827	814	741	757	955	904	976	843	805	979	897	838	1037	1061	1058	401	236	424	188
Gene:WBGene00227770	1466	1204	3078	2618	229	235	7982	9739	1444	1158	8614	8478	336	404	290	775	3276	3649	3441	3176	2141	2165	2962	3172	3071	3404	3100	2661	2349	2595	2049	2552	2985	3105	708	756	1188	555
Gene:WBGene00227771	1519	1859	3743	3204	269	258	2357	2626	503	347	3089	2988	549	953	532	642	1175	1635	1153	1063	1277	1315	1073	1207	1086	1363	1637	1308	2447	2504	2139	2519	2712	2669	537	291	747	278
Gene:WBGene00227772	1210	1968	5895	5071	210	287	7662	9185	941	793	3611	3694	708	1115	648	1226	2816	3215	3272	2977	2167	2054	3084	3233	2995	2959	5977	5364	3046	2884	2468	2936	3673	3755	942	662	1566	491
Gene:WBGene00227773	2216	2607	5925	4911	240	286	4367	4731	443	350	3665	3352	413	542	340	605	1730	1810	1478	1323	1381	1368	1884	2106	1701	1826	7445	6603	4610	5403	4305	4737	5481	5570	615	744	1050	515
Gene:WBGene00227774	299	649	3559	3293	160	174	3789	4488	419	456	2206	2289	293	461	226	459	1526	1675	1353	1077	877	817	1206	1228	1093	1246	1885	1753	1279	1462	1070	1257	1620	1670	288	286	470	197
Gene:WBGene00227775	0	0	76	94	3	5	1068	1281	203	157	2199	1935	156	278	165	189	527	585	340	342	378	370	194	199	120	173	187	162	15	23	13	18	10	13	2	0	4	0
Gene:WBGene00227776	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	68	1	2	1	1	1	1	0	0	1	0
Gene:WBGene00227777	738	734	1896	1653	144	139	3230	3714	554	383	3129	2904	558	998	506	747	1715	2065	1551	1465	1545	1626	2180	2521	1938	1951	3401	3025	3003	3237	2455	3097	3782	3407	579	340	831	298
Gene:WBGene00227778	2564	2400	4035	3881	99	143	5726	7002	424	384	2157	2530	533	745	520	771	1537	1686	1312	1113	1305	1255	1328	1408	1015	1227	2212	1817	2685	3130	2477	2658	4661	4679	839	945	1714	484
Gene:WBGene00227780	1101	1092	172809	155817	6725	8811	510	726	11	0	2	8	2	0	3	2	18	9	2	0	13	11	1	6	1	1	74	47	4327	6699	3983	6392	23852	21909	14	4	62	3
Gene:WBGene00227781	2750	3544	6928	5856	301	413	4485	4719	590	500	6293	4916	1655	2607	1645	999	1605	2001	1346	1186	1442	1735	1795	1893	1688	2007	1862	1503	1019	1153	967	1144	1366	1315	868	791	1005	699
Gene:WBGene00227782	4127	3333	5275	4820	444	432	8628	10036	1602	1373	12465	10964	953	1406	839	1072	4078	4941	3945	3469	2571	3186	3453	3919	3320	3812	5142	4319	3381	3392	2850	3600	4719	4524	887	995	1392	779
Gene:WBGene00227783	150	284	1019	873	32	38	572	528	48	51	252	341	74	105	59	142	430	457	440	375	298	277	678	560	702	512	609	515	472	525	347	508	787	830	193	188	309	101
Gene:WBGene00227784	4234	5068	7602	6481	249	395	16729	20325	1690	1571	11686	12918	1382	2084	1068	2186	5194	5642	4722	3915	4016	3534	5522	6105	4940	5234	10849	9713	8486	9515	7124	8523	12386	11713	2022	2095	4826	1304
Gene:WBGene00227785	808	764	2962	2632	140	185	3390	3644	639	510	5637	5068	736	1089	618	738	2086	2555	2076	2015	1459	1693	2244	2346	1764	2189	2077	1718	1332	1209	1037	1346	1266	1298	449	378	647	285
Gene:WBGene00227787	2988	4081	13604	11837	354	513	22163	27734	1767	1759	16751	18630	2359	3943	2259	2767	7131	9035	3753	3226	4676	4828	5481	6263	5435	6787	5568	4690	3350	3670	2989	3636	3991	3948	995	945	1895	709
Gene:WBGene00227788	132	79	5660	5185	256	254	4171	4791	445	427	2847	2955	402	556	293	491	1598	1789	1151	965	2162	2308	558	716	330	450	488	478	135	178	110	148	240	210	221	272	202	98
Gene:WBGene00227789	59	2	314	372	24	14	1319	1285	178	139	1025	1229	102	133	79	138	346	432	295	253	281	248	128	133	86	127	248	162	459	456	483	483	502	439	52	47	89	33
Gene:WBGene00227790	1319	1304	2336	1788	146	136	1876	2365	245	179	929	1125	368	643	371	567	958	1193	1032	834	1192	1055	1603	1970	1477	1652	8775	7845	2876	3086	2455	2838	2140	2276	781	641	1332	460
Gene:WBGene00227791	309	526	2087	1755	79	175	2360	2791	442	341	1582	1740	414	339	178	634	1819	2202	1148	892	639	643	863	1051	603	674	701	552	886	1032	731	988	1087	1121	186	105	362	95
Gene:WBGene00227792	268	502	1766	1575	119	98	2409	2688	267	301	2505	2695	296	362	215	751	1819	2296	1325	1223	2551	2197	1240	1382	1248	1660	1583	1527	636	647	626	648	853	918	250	290	440	166
Gene:WBGene00227793	333	114	5805	4954	232	303	2482	3102	233	229	846	980	238	242	164	490	1532	1833	1231	1127	1418	1480	932	1016	809	977	2334	2088	492	436	316	472	383	452	83	90	154	51
Gene:WBGene00227794	1877	2010	2944	2558	123	158	3591	4145	478	439	2854	3254	309	542	287	515	1093	1492	1074	914	991	824	1053	1095	901	1109	2259	1877	2201	2363	1871	2363	2881	3095	864	684	1447	451
Gene:WBGene00227795	2244	2572	7524	6170	314	401	6740	7997	1019	809	4149	4374	239	290	191	820	2985	3385	3353	3115	2602	2589	3107	3677	3168	3433	4239	3715	2423	2476	1947	2381	2044	2281	376	593	880	624
Gene:WBGene00227796	747	884	2932	2165	286	337	4004	4906	1224	1127	3113	3105	480	778	478	522	2192	2283	2280	1857	1707	1782	2200	2513	1947	1885	4169	3537	2362	2448	2109	2489	2887	2957	658	544	840	238
Gene:WBGene00227798	2241	2186	6455	5767	228	324	6957	7982	875	702	2990	2987	632	714	374	745	2057	2549	1705	1477	2583	2217	2506	2847	2129	2248	3298	3100	1470	1622	1188	1446	1640	1872	790	580	1201	494
Gene:WBGene00227800	625	868	1771	1433	145	85	2370	2569	361	395	1637	1538	362	632	353	553	1206	1405	1234	1108	1240	1119	938	1070	1002	1196	772	607	1043	1060	793	977	1029	1173	418	243	616	203
Gene:WBGene00227801	1768	1931	7520	6535	360	555	163252	227419	41123	37563	88712	86153	6680	7635	4581	7109	32707	33602	30145	23524	55148	50834	64326	74808	63545	70282	52119	46933	13386	13047	13942	14246	3973	4245	4859	2740	6760	1233
Gene:WBGene00227803	22449	28772	65646	56083	2549	3064	66756	81697	7388	6147	48770	58522	7633	10066	5238	13323	35974	38719	36418	34064	30243	29072	39405	41794	34460	42228	53558	48581	40242	38644	33716	37375	38176	38108	6903	5738	13293	3417
Gene:WBGene00227804	1384	1076	2563	2314	113	141	2732	3049	363	316	1893	2051	346	612	306	524	1466	1586	1451	1195	1290	1231	1361	1610	1357	1315	2295	2044	2016	2213	1813	2134	1972	2213	508	356	947	260
Gene:WBGene00227805	43	128	321	263	11	22	3206	3944	590	449	5038	4219	274	436	284	313	930	1223	832	817	907	931	829	971	784	890	643	569	300	324	239	258	220	298	250	128	279	79
Gene:WBGene00227806	2747	2431	5982	5368	251	279	11722	12742	1232	1012	4500	4594	407	486	308	918	2663	3203	2732	2575	2014	1970	2151	2402	2089	2186	2656	2304	3037	3025	2771	3053	4625	5081	792	622	1443	494
Gene:WBGene00227808	0	0	88	65	4	2	55	68	22	4	2	0	5	16	8	14	9	6	5	14	16	5	296	264	65	48	3432	3092	129	158	110	108	52	67	6	4	2	2
Gene:WBGene00227809	435	457	1158	931	37	29	2398	2890	327	242	1063	1360	698	1119	708	1189	1476	1758	1634	1404	1724	1401	923	969	1181	732	1036	885	825	809	620	783	972	1051	347	282	545	143
Gene:WBGene00227811	1425	865	4589	4005	274	268	7100	8165	1020	812	3605	3959	589	618	387	1002	2908	3191	2820	2367	2128	1926	2881	2692	2459	3047	5374	4546	3002	3595	2709	3219	4010	4185	985	1063	2157	693
Gene:WBGene00227812	1757	1823	4522	3586	257	376	5839	7116	1393	1059	6257	7032	408	700	466	897	2742	3351	2593	2306	2363	2288	2207	2598	2178	2655	4064	3411	4061	4264	3455	4356	5176	5357	745	997	1489	574
Gene:WBGene00227813	1069	942	2549	2273	127	142	2534	2736	382	281	1729	1756	203	392	234	456	1096	1196	1020	984	1322	1367	1048	1291	1328	1352	3237	2750	3967	4062	3555	3691	3227	3019	249	359	591	322
Gene:WBGene00227814	1358	1376	4021	3378	163	233	7116	8977	839	866	7873	7117	816	1001	624	1060	3637	3729	3020	2533	2157	2339	2939	3187	2700	3114	4818	3794	2105	2211	1852	1990	1950	1978	581	567	1216	339
Gene:WBGene00227815	1430	2222	3470	2794	134	166	5077	7300	601	599	3889	4337	600	903	522	882	2226	2735	2306	2091	2004	1992	2247	2410	2480	2888	2730	2445	2769	2740	2457	2685	3052	2997	1089	799	1551	539
Gene:WBGene00227816	107	365	647	635	39	55	28464	40452	4649	5382	37749	33679	1985	2103	1279	2045	6636	7419	6621	4658	6847	6796	6558	7250	6082	6972	4658	3982	806	758	873	918	405	449	670	384	882	306
Gene:WBGene00227818	325	246	1015	857	64	63	3246	3930	554	396	1977	2101	153	285	142	273	418	418	313	197	264	238	616	702	398	234	327	287	1792	1909	1623	1839	2186	2412	131	128	183	88
Gene:WBGene00227819	13128	13704	67549	58708	2052	2674	17005	16724	1488	1040	7066	8320	1116	1237	943	2440	7160	9132	5939	5239	4331	4095	3724	4109	3939	5419	7166	6368	3642	4140	3229	4222	3302	3361	1254	1168	2616	809
Gene:WBGene00227820	3740	4322	7689	6466	304	342	8643	9617	937	933	6518	7055	353	474	327	634	1964	2384	1554	1431	1649	1684	1774	2088	1712	1789	2223	1874	2484	2781	2118	2532	3616	3520	649	715	1066	503
Gene:WBGene00227821	3836	4488	17218	14206	713	955	47231	59829	6635	5980	26705	28427	1888	2588	1455	4173	17801	17395	13153	12022	11739	10941	12905	15119	12994	14651	11719	10519	6388	6816	5805	6744	4985	5218	1043	1229	2079	1049
Gene:WBGene00227822	299	539	100412	80891	5660	6478	21682	20130	3607	2409	2402	2757	166	220	140	243	905	906	39539	40528	591	1071	673	544	2764	1621	1412	1250	480	437	373	470	1039	1203	148	208	237	124
Gene:WBGene00227823	528	693	2478	2440	150	170	7190	7813	1123	907	4626	4578	800	1043	585	960	2406	2508	2404	1952	2605	2191	1533	1782	1564	1679	5636	5061	683	740	623	779	1073	1130	160	144	291	104
Gene:WBGene00227824	2588	3446	7264	6284	291	409	13765	17685	1708	1700	8770	8788	1217	1990	1020	2129	4593	5771	5003	4504	3853	3575	5064	5210	5001	5001	6120	5346	7032	7238	5868	6862	7686	8049	1883	1514	3701	1060
Gene:WBGene00227825	136	23	168	128	3	20	12153	16869	3021	3036	27693	24504	1086	1254	761	1011	2792	4321	2579	1988	6651	7509	9889	12437	6901	7774	6329	5784	1301	1398	1190	1559	959	996	2363	943	2783	592
Gene:WBGene00227826	429	490	2017	1717	127	114	4834	6566	817	706	7301	7348	498	582	386	734	1731	2322	2383	2184	1462	1398	1764	2251	1841	2381	1873	1611	1563	1467	1202	1559	1576	1522	940	809	1257	480
Gene:WBGene00227827	1380	3421	3230	2748	218	268	2432	2604	530	474	2083	2560	119	127	79	296	923	1163	905	679	742	700	966	1149	908	1045	1650	1422	1713	1964	1401	1925	2859	2841	458	514	843	297
Gene:WBGene00227828	1217	1420	2094	1573	99	154	2604	3084	487	346	2872	2897	346	592	308	392	867	1139	907	786	786	814	1159	1593	1019	1160	2743	2262	1530	1631	1322	1643	2856	2736	656	504	852	280
Gene:WBGene00227829	2551	3721	5042	4069	187	161	6334	7146	647	468	4003	4197	581	907	558	1051	1803	2225	1794	1494	1622	1393	1859	1940	1553	1827	5138	4386	4049	4298	3293	3868	4555	4796	1580	1409	2952	802
Gene:WBGene00227830	0	0	43	40	2	4	133	218	20	24	86	121	246	560	246	423	86	100	43	55	63	83	182	174	101	122	1766	1551	32	23	29	24	14	18	48	25	80	13
Gene:WBGene00227831	2318	2351	4051	3218	221	187	6526	7107	882	687	5218	5473	399	395	262	860	2260	2534	2035	1731	1630	1450	1975	2225	1666	1879	3383	2866	3592	4007	3168	3641	5470	5330	976	890	1837	631
Gene:WBGene00227832	1840	2989	4838	4168	253	278	8562	9576	1095	940	6352	6956	660	945	537	1190	3272	3816	2894	2771	2596	2547	2997	3428	2823	3143	5016	4233	6438	6644	5556	6203	8620	8109	1090	910	1877	542
Gene:WBGene00227833	272	471	768	508	22	32	860	818	74	107	1149	1416	276	452	248	515	368	568	528	447	388	316	577	603	412	551	900	675	916	975	751	926	1059	1085	794	547	1356	478
Gene:WBGene00227834	2995	3887	14215	11890	620	755	13950	17596	1874	1434	7497	8653	2089	3178	1636	3559	8783	10699	10628	10265	7744	6876	7486	7764	7208	8898	9227	8115	8038	8722	6889	8628	5841	5848	1482	1171	2652	764
Gene:WBGene00227836	9788	10422	18986	15917	757	903	13637	17260	2030	1779	17012	16200	2562	3585	2064	2936	10167	10608	7643	6941	7219	7489	7251	7848	6842	8945	10269	8675	8295	8375	7597	8497	9099	8895	2404	1967	3999	1495
Gene:WBGene00227837	1883	2062	3108	2466	181	207	2924	3274	539	392	2569	2672	279	502	295	551	816	967	728	623	738	617	677	728	566	774	1649	1461	1699	1771	1524	1676	3204	3046	673	518	1094	390
Gene:WBGene00227838	10	78	1097	1003	90	93	1999	2401	448	298	284	278	364	484	343	592	590	650	622	399	698	538	288	359	256	308	165	104	883	1045	698	1055	932	1079	1543	1290	2719	760
Gene:WBGene00227840	2	3	118	86	16	8	1445	2189	203	171	1033	931	21	52	28	56	159	192	162	143	216	201	55	57	40	45	761	783	93	107	80	93	94	83	1	2	5	0
Gene:WBGene00227841	6268	9233	22217	18534	555	606	41411	51268	2721	2271	14244	17240	1190	1291	767	2978	8876	10638	7870	6961	8054	7252	6808	6936	6233	7636	6559	5815	7144	7890	6044	7408	9111	9831	3392	3924	7915	2564
Gene:WBGene00227842	1812	1826	10064	8255	463	541	9826	10841	1278	1004	3298	3865	729	1083	598	853	2022	2287	1982	1564	2643	2587	2176	2614	1950	2127	1823	1537	2532	2684	2317	2455	3246	3426	662	535	999	317
Gene:WBGene00227843	1188	1288	4617	3859	175	235	2512	2941	290	202	1547	1540	408	571	340	649	1121	1393	1053	824	1364	1224	1608	1684	1684	2137	4215	3520	4204	4530	3368	3956	5722	5651	496	608	1034	483
Gene:WBGene00227844	1	4	927	764	24	28	2891	2213	254	178	60	22	7392	3856	2394	9826	48556	51618	34099	32868	1046	898	15149	12803	9618	18809	68	38	134	289	190	288	49	37	1	0	3	2
Gene:WBGene00227845	2686	2700	10522	8730	204	289	30917	37137	2002	1730	6245	8064	1984	3451	1776	3216	3655	4545	5171	3757	3999	3583	2775	3182	2000	2361	1965	1729	6237	6095	5434	5715	8736	8778	2707	1963	4526	1315
Gene:WBGene00227847	355	758	1838	1475	113	125	8086	11101	1730	1673	4928	5751	797	1272	618	1482	2177	3179	3093	2099	3547	2914	2178	2316	1902	2685	1677	1546	1431	1343	1171	1459	1981	2279	2725	1668	3708	956
Gene:WBGene00227848	1147	2032	4950	4034	286	260	5563	7008	933	860	8419	7589	909	1248	743	1049	3483	3524	3469	2835	2205	2486	3673	4099	3311	3404	6284	5337	3335	3648	2893	3354	3125	3176	1186	895	1563	663
Gene:WBGene00227851	4404	3717	8546	7151	294	278	13510	16688	1258	1190	9338	10518	1447	2209	1196	2788	4779	5705	4804	4176	4156	3465	5483	5655	4639	4994	10581	9294	7302	7718	6303	7224	12142	11881	2337	1790	5031	1189
Gene:WBGene00227852	1	20	199	186	15	7	770	801	95	104	146	206	93	77	41	155	289	397	532	502	249	232	1491	1464	1479	1320	828	744	976	974	903	1018	336	318	27	12	52	12
Gene:WBGene00227853	86	292	3402	2686	205	206	3862	4089	455	347	1127	1538	322	222	150	418	1439	1439	3119	3159	928	857	2089	2148	1981	2317	1411	1089	2277	2472	2046	2614	2445	2657	193	150	353	96
Gene:WBGene00227854	13	92	2401	2856	116	159	10174	11305	1080	911	3935	3196	183	626	324	379	613	809	355	255	3204	3298	2685	2929	2069	1873	796	656	684	745	585	767	1194	1175	192	154	355	123
Gene:WBGene00227855	22586	24787	35792	30185	1111	1322	38443	47087	3595	2994	18377	20353	1156	1520	866	2663	9079	10936	8758	7509	9600	9309	11242	12640	10679	12228	14286	12502	12308	13810	10863	13182	17389	16786	2937	3229	5805	1333
Gene:WBGene00227856	0	0	0	0	0	0	3	3	0	0	0	9	0	2	0	4	1	3	0	3	1	7	4	7	3	2	7309	6222	2	4	1	1	1	1	1	0	1	0
Gene:WBGene00227857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00227858	942	651	1467	1138	152	153	1860	2361	661	436	3029	2637	319	648	360	319	655	798	669	546	489	557	718	661	665	721	1038	868	1852	1811	1604	1855	2207	2179	571	364	774	263
Gene:WBGene00227859	876	1110	2650	2262	139	170	3037	3534	412	320	2898	3258	413	699	374	674	1262	1381	1344	1033	1128	1062	1525	1579	1387	1792	3489	3262	2824	2958	2469	2834	3141	3109	824	578	1441	409
Gene:WBGene00227860	1389	1390	3550	2838	111	105	3625	4529	350	317	2924	3069	325	384	211	465	1134	1316	876	813	1056	1092	1229	1204	1069	1132	2145	1789	2029	2108	1793	2089	2509	2516	543	458	928	297
Gene:WBGene00227861	2757	3424	17767	15769	582	631	47603	60562	3997	3341	3672	3682	3285	3645	2225	3864	17213	18892	16651	11534	19553	16470	12712	16343	7865	13605	7570	7174	4972	5585	4890	5650	4912	5313	4398	2841	7735	1694
Gene:WBGene00227862	740	1165	3244	2841	163	221	5761	6810	877	705	8220	7420	649	949	527	791	2354	2896	2286	2006	1537	1581	2715	3113	2337	2412	4382	3868	2616	2739	2447	2695	3002	2760	518	334	795	199
Gene:WBGene00227863	5571	5265	9545	8104	377	508	8396	9632	1114	718	5202	5597	1475	2100	1186	2019	5540	6363	6294	5751	5294	5140	4665	5467	4766	5729	6705	6107	4285	4563	3615	4322	4249	4460	1055	891	2041	693
Gene:WBGene00227864	200	113	637	478	45	44	329	479	57	55	202	248	22	61	8	37	66	80	40	39	65	55	2	5	9	9	9	7	343	347	267	369	493	578	132	57	212	25
Gene:WBGene00227865	443	414	1245	1090	37	61	2978	3638	564	496	694	543	948	971	660	1451	1941	2547	1304	1032	2678	2462	253	329	272	490	193	126	167	184	126	147	219	224	663	349	899	285
Gene:WBGene00227866	741	1024	4376	3972	237	220	8402	9122	923	800	3768	4458	918	879	515	1647	4458	4698	4948	3607	5204	3814	3461	3520	2241	2723	2608	2296	658	620	518	641	984	1088	569	523	1140	368
Gene:WBGene00227867	755	1069	1082	952	37	66	555	671	90	63	458	424	164	266	148	256	275	388	287	272	331	271	361	395	317	392	361	346	324	320	291	344	566	558	233	172	380	139
Gene:WBGene00227868	2933	3217	5364	4740	246	244	10132	12032	1111	1045	7557	7509	842	1313	751	995	3068	3296	2706	2273	2231	2309	2371	2841	2363	2422	5281	4713	4148	4456	3955	4249	6049	5942	1025	883	1665	452
Gene:WBGene00227869	31	52	1412	1245	85	81	22887	29118	4189	3308	1354	1146	77	143	76	92	362	331	1397	1776	4937	7801	2231	2614	4047	3495	159	98	1387	1788	1344	1640	3247	3026	5	2	6	3
Gene:WBGene00227871	2	0	705	575	36	27	715	706	45	47	651	627	155	175	94	178	781	777	1593	1743	690	676	451	458	372	694	261	162	244	458	218	408	129	212	9	10	13	2
Gene:WBGene00227872	425	504	3111	2658	173	164	4588	6330	601	549	601	620	519	634	428	846	2008	2365	1801	1656	2330	1794	2581	2855	2363	2608	2050	2121	2339	2609	1819	2619	2490	2483	456	291	756	292
Gene:WBGene00227873	9021	10224	19728	15612	880	996	17553	21909	2996	2371	11629	13215	1506	2031	1157	2986	10471	11416	10124	9508	8402	7752	6799	7730	7407	8948	16011	14839	7880	8516	6770	7990	11624	11344	2681	2742	5386	1522
Gene:WBGene00227874	458	873	1824	1352	104	108	1529	1814	222	158	1222	1130	302	471	265	394	816	916	743	594	653	711	529	688	578	693	1658	1428	952	992	786	889	843	885	269	175	412	113
Gene:WBGene00227875	57	54	148	151	10	4	7098	9542	1433	1140	1947	1864	268	332	221	312	909	1274	1351	1217	1289	1137	1093	1360	1083	1736	695	466	299	313	218	314	209	217	224	101	265	66
Gene:WBGene00227876	215	324	3608	3100	135	220	4152	4681	541	359	1332	1602	1117	1038	603	1835	5500	5681	4721	4120	3688	3380	10754	10623	8934	11237	26567	24613	4663	5438	3918	4776	3265	3803	163	107	312	58
Gene:WBGene00227877	2894	3995	7368	6506	298	354	7155	8742	742	637	2900	4086	908	1576	762	1822	3033	3917	3462	2882	3022	2487	3449	3729	3506	4910	7139	6104	4409	4803	3559	4433	5478	5756	2004	1849	3852	1252
