agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220391	110	55	16924	12360	825	940	4876	4496	687	432	22	45	61	37	46	83	658	516	1589	1759	2202	2759	718	768	1622	785	15	7	518	714	445	716	2030	2308	22	20	34	11
Gene:WBGene00220396	0	17	524	406	19	24	180	209	24	15	105	109	18	29	19	10	19	64	37	31	9	13	5	16	1	0	9	7	643	525	392	571	626	750	5	1	13	2
Gene:WBGene00220398	0	0	0	0	0	1	11	26	0	0	11	14	0	1	1	1	4	8	0	0	5	4	4	6	4	17	4638	4373	334	338	354	518	0	8	6	3	3	1
Gene:WBGene00220406	0	0	3	0	0	0	0	1	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1504	1381	1	0	0	0	1	2	3	3	3	4
Gene:WBGene00220407	0	0	0	4	0	2	26	34	2	10	137	143	19	7	11	6	35	68	15	8	49	56	17	39	6	27	445	342	143	104	100	111	64	62	0	0	0	0
Gene:WBGene00220409	0	0	0	0	0	0	4	1	22	22	53	72	15	18	11	14	15	6	12	14	4	18	20	9	12	13	17	10	9	10	8	11	13	5	16	11	24	6
Gene:WBGene00220411	0	61	1	1	0	0	34	74	13	25	225	213	18	24	21	14	32	44	84	48	39	33	33	66	55	64	11	11	1270	1254	1182	1184	10	31	11	9	4	5
Gene:WBGene00220416	153	83	66	60	7	7	3392	4374	642	664	9982	8773	397	503	299	346	1027	1570	1175	1132	781	1015	361	444	344	433	65	64	55	38	38	43	54	55	102	90	124	68
Gene:WBGene00220418	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00220421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
Gene:WBGene00220422	0	0	18	2	6	0	34	30	13	7	19	20	6	5	0	2	11	12	8	13	16	25	6	1	5	9	9	3	579	732	334	667	3071	3716	60	40	114	35
Gene:WBGene00220424	223	244	350	374	11	21	594	618	48	40	426	286	77	79	60	74	208	268	184	179	150	118	121	157	146	191	179	184	71	117	82	146	104	113	40	22	36	24
Gene:WBGene00220425	0	0	0	2	0	4	0	2	2	6	2	0	242	7	245	7	9	11	1	4	3	8	24	21	28	16	15	15	6	9	8	8	7	12	36	98	118	92
Gene:WBGene00220433	16	34	158	84	6	6	3896	5129	521	546	821	1072	100	107	62	160	205	260	263	195	301	262	286	337	203	277	484	393	392	391	349	402	737	707	902	467	1205	419
